"","X1","TF","permutation","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue","Cohend_factor","pvalueAdj","median.cor.tfs","classification_q0.1","classification_q0.05","classification_q0.01","classification_q0.001","classification_distr_rawP","classification_q0.1_final","classification_q0.05_final","classification_q0.01_final","classification_q0.001_final","yValue","pValueAdj_log10","pValue_log10","pValueAdj_sig","pValue_sig","Symbol"
"1",1,"MA0014.3",0,-0.0481,0.0969,9051,NA,NA,0.0769230769230769,1,0.0846848934198332,0.19581490486933,"activator","activator","activator","activator",5.73009150838862e-64,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"PAX5"
"2",2,"MA0017.2",0,-0.065,0.122,6422,NA,NA,0.0769230769230769,2,0.0846848934198332,0.382928516078472,"activator","activator","activator","activator",3.51657029988272e-299,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"NR2F1"
"3",3,"MA0018.4",0,-0.139,0.274,4476,NA,NA,0.0769230769230769,2,0.0846848934198332,0.160235202357641,"activator","activator","activator","activator",6.04179324835052e-37,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"CREB1"
"4",4,"MA0029.1",0,0.0514,0.0958,2764,NA,NA,0.0769230769230769,1,0.0846848934198332,-0.118396039585735,"repressor","repressor","repressor","repressor",2.22509026805076e-17,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"MECOM"
"5",5,"MA0041.1",0,0.0838,0.155,1976,NA,NA,0.0769230769230769,2,0.0846848934198332,-0.115287803958916,"repressor","repressor","repressor","repressor",1.68473686349721e-14,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"FOXD3"
"6",6,"MA0047.3",0,-0.00605,0.011,4269,NA,NA,0.153846153846154,1,0.164417453891138,-0.114656006981988,"repressor","repressor","repressor","repressor",5.26535380958158e-14,"repressor","repressor","repressor","repressor",0.784052081405111,0.784052081405111,0.812913356642856,TRUE,TRUE,"FOXA2"
"7",7,"MA0052.4",0,0.134,0.247,2095,NA,NA,0.0769230769230769,2,0.0846848934198332,0.110627125190754,"activator","activator","activator","activator",1.47191740358309e-47,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"MEF2A"
"8",8,"MA0075.3",0,0.0245,0.0541,4804,NA,NA,0.0769230769230769,1,0.0846848934198332,-0.112688800107522,"repressor","repressor","repressor","repressor",2.36641047727056e-23,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"PRRX2"
"9",9,"MA0076.2",0,-0.027,0.0973,10662,NA,NA,0.0769230769230769,1,0.0846848934198332,0.151014860608138,"activator","activator","activator","activator",4.09215834697499e-84,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"ELK4"
"10",10,"MA0079.4",0,-0.122,0.257,9281,NA,NA,0.0769230769230769,2,0.0846848934198332,0.201835824577235,"activator","activator","activator","activator",2.2685519743032e-216,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"SP1"
"11",11,"MA0103.3",0,0.0504,0.122,6826,NA,NA,0.0769230769230769,2,0.0846848934198332,-0.207739926434126,"repressor","repressor","repressor","repressor",2.74370358036378e-173,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"ZEB1"
"12",12,"MA0104.4",0,-0.0356,0.0754,7535,NA,NA,0.0769230769230769,1,0.0846848934198332,-0.124235230437714,"repressor","repressor","repressor","repressor",1.00808229296391e-52,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"MYCN"
"13",13,"MA0114.4",0,0.0478,0.0916,3849,NA,NA,0.0769230769230769,1,0.0846848934198332,-0.134429931178913,"repressor","repressor","repressor","repressor",2.2749435239413e-09,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"HNF4A"
"14",14,"MA0146.2",0,0.0382,0.0832,12925,NA,NA,0.0769230769230769,1,0.0846848934198332,-0.105272287973267,"repressor","repressor","repressor","repressor",5.25892251300663e-93,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"ZFX"
"15",15,"MA0147.3",0,-0.0348,0.0738,6484,NA,NA,0.0769230769230769,1,0.0846848934198332,-0.141044406774215,"repressor","repressor","repressor","repressor",2.89213807886491e-65,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE,"MYC"
