"","HH6_1","HH6_2","HH8_1","HH8_2","HH10_1","HH10_2","HH12_1","HH12_2","HH14_1","HH14_2","HH16_1","HH16_2","HH18_1","HH18_2"
"MA0004.1_Arnt",-7.74502945845853,-7.27157718977427,5.15637521037329,-11.0514899818195,3.32632035273278,-13.2232657533707,-14.230776089974,-5.50494327299688,10.2577276447021,-4.97314170586788,21.0922442277334,-3.81047575273666,4.12102640259087,-0.789065652491056
"MA0006.1_Ahr::Arnt",-2.78454035972307,-2.73496135153846,-1.82734580850306,-2.23232686234271,-4.33850205200089,-2.64578847125057,-1.91804082869635,1.29989471714068,5.7745723264599,1.86838178689156,3.97979056489919,1.01265525268935,1.37911365071797,1.70212346175551
"MA0019.1_Ddit3::Cebpa",0.977515524416595,0.37587390418577,2.94829043030614,0.883500571674178,1.17484332211555,-1.93989045077695,-2.11285323497678,-2.78926147080284,0.0823766623257132,-4.23022284566323,0.101525982857307,-0.506131791835253,0.281436399531407,0.257499921858453
"MA0029.1_Mecom",2.14855501891068,2.59896270313666,2.71301739017004,3.91425440786596,0.280068357105548,2.84478801841517,2.05922906442421,1.05438693550579,-2.08657057784823,1.54930477552937,-1.57935174572921,-3.09183096845032,-4.85381486617119,-4.78285431054726
"MA0030.1_FOXF2",0.61449596803598,-0.987906652774463,-4.15658486477906,-1.19254050159747,-8.3315417721679,-5.29724152244979,-4.04457156286237,-2.03923150531206,2.55981598757249,-3.86158235839551,-0.418399419857806,8.257602758555,7.63084889035838,9.51223732568996
"MA0031.1_FOXD1",6.14381528390645,2.75068744094181,0.730962425400432,2.22229332715527,-4.85225553363511,-2.98377409570029,-3.04651565193329,-4.28244967134843,-0.70301595081816,-6.51287930529167,-3.50486666903795,4.84109847718142,4.28386807717894,4.20492555513406
"MA0040.1_Foxq1",-0.342400350426808,-0.494087448049981,-4.29391768248043,-2.72814419894101,-6.29048661992803,-3.08397537531548,-1.72176453484972,-0.293687999995488,0.548313545074645,-1.69451052701349,-0.97139730400664,7.47202439349681,6.5547512188914,8.14883463802399
"MA0041.1_Foxd3",-4.6679662087291,-2.33477878172846,-3.79937886569165,-3.2899410649508,-12.0017346117415,-3.81166983622358,-1.43258304068745,1.69378358734776,2.73888541314068,3.21718850683879,6.69325123812288,7.38902141032912,0.917797806447202,7.10335606288243
"MA0051.1_IRF2",-0.993012622797917,-2.17765342853834,-1.90202520094906,-1.22960339597354,-0.849754884241261,-1.83324673582615,1.01197542493241,-0.683061718823615,1.9873766432051,0.236491853899928,0.732358888228322,2.68531711474049,1.32325174409758,2.8463839797343
"MA0057.1_MZF1(var.2)",-9.1395125947398,-4.83288751054234,1.3767946917537,-1.47455691543341,-0.16931567362215,-3.01399195148246,-2.47424508733602,-2.34967392735177,5.58364003746912,0.576281204067883,5.70329103821508,-1.90910942334486,-0.981172369454671,1.54852329279581
"MA0059.1_MAX::MYC",-4.42313295698876,-3.48795389883573,0.846849125208907,-7.38729533764911,2.92126800704687,-5.06145890331909,-7.7964583544592,-3.32510293062934,7.37017144367907,-4.22232498713307,8.0866635232258,-0.124721401090703,3.08691934706395,0.704076061305823
"MA0066.1_PPARG",-1.37123531189144,-2.86403401306617,-0.565884076086978,-2.95816031443345,0.490599505924979,-3.02039643403253,-2.24304490528824,-1.27873832972214,4.64168752113026,-0.075720548372452,2.28280043502758,0.164958733067138,1.77206938355473,0.259656227109346
"MA0067.1_Pax2",-2.42455177819357,-3.96042307323693,-1.59885202525812,-2.15728559179945,-1.18956643171484,-1.73539647967612,-2.65478036443053,0.474117795079201,6.01426687987887,1.66073057276892,1.83741789078662,-0.181255177331867,0.615656896503217,0.395197668479323
"MA0069.1_PAX6",-5.2835355015416,-6.10739849502181,-0.222762180600771,-2.272405598487,1.78421625683738,-2.01283896064919,1.20508016054233,-0.951884052026143,7.74473475185966,1.18276265918432,4.881216715467,-1.92873265278973,-0.630426605398612,-1.38178953805841
"MA0070.1_PBX1",-0.993367438238723,-1.27607056892396,-1.53401521082527,-1.37754317048173,-1.41383948539371,-1.69221823519141,-0.711031944625588,-0.967603397100237,1.94753155414574,1.35301387370376,1.3754725270079,0.897724138916229,1.86883992252242,1.26753443486657
"MA0071.1_RORA",-5.68304824974689,-7.64786741627871,-9.34994533249967,-7.51883568591056,-8.76236192802789,-7.05547947144166,-4.68649804416586,-0.496667417431486,11.10739711346,6.39068567766174,3.12810650616919,9.73232666200532,11.6522959610248,9.7133936586055
"MA0072.1_RORA(var.2)",-1.53020768190626,-1.67271441964163,-2.47663442325624,-1.30350087484131,-2.2299065361746,-0.99807685825568,-1.25228609550643,-0.565633892044774,2.39035860474387,1.26790165919504,1.31516101675975,1.87666402166254,2.27858179253275,1.8639816961065
"MA0073.1_RREB1",-12.5954454240853,-4.94136698691792,4.79946561255531,-3.81777194919545,0.610764133868889,-7.11232991179118,-5.83189474457315,-6.91198401444046,7.9985698003463,-3.84110792294259,11.703739758263,-2.95999078704331,-2.39422984404096,2.93538949659859
"MA0074.1_RXRA::VDR",-3.92812254050436,-3.4526015113737,-1.84408820708793,-4.87909013599933,-1.39090402905704,-4.49737432971956,-1.72460756507466,-2.66446872454333,5.41203579869249,2.38449409232933,2.46707058289958,2.1023599451961,4.40854086430762,3.03648195874071
"MA0077.1_SOX9",-2.14659145722271,6.83939599050074,3.49606040402198,4.51979967462575,14.0359332142089,5.50891547733425,3.51966411325381,6.45209153005585,-8.43620995148619,8.13743926865056,-10.9400048051658,-12.1377424010058,-7.61426062180073,-9.63834323329173
"MA0078.1_Sox17",-4.6466353064997,2.25855305611025,2.92987368758813,-0.0798791158564655,8.46650165801175,4.905790769552,0.818046515568507,3.70723032653977,-3.9934741301056,6.89993926952083,-7.05490807293111,-7.69058208082286,-4.49480642983533,-6.04446385071617
"MA0084.1_SRY",-0.471969000453904,3.7306608765868,-1.32759910334967,2.78756065815392,0.499924882467526,1.9027312116155,2.14460870771926,1.08104561517782,-3.32625652851125,3.07369400966445,-5.87624937105825,-0.740654513232121,-0.568555657696891,1.57827001632542
"MA0087.1_Sox5",-1.66728021464115,3.08825193549648,-1.53497011890648,1.70650520851615,1.72903401630042,2.68867050288402,2.80414298042256,3.60846197174192,-3.66956946263881,6.90397387747352,-6.90767109033261,-2.25866110579674,-1.39282334149025,-0.0831194278054601
"MA0091.1_TAL1::TCF3",-3.24707128823312,-5.33822540474835,-6.33904982662176,-8.49305141270872,-7.04634041059554,-8.564267279523,-10.1091130259508,-1.87938584856169,4.37753504348215,4.44952889775107,0.126523859740181,12.3089154339297,16.6819282199912,13.327329355166
"MA0092.1_Hand1::Tcf3",-3.25499370990118,-2.66439889565564,-3.61712837900576,-2.48726499032695,-2.15665161605282,-2.93140819182754,-2.31327343005333,-0.714186525023899,3.61973639426516,0.954964360071411,-0.306508672312425,5.04297178912751,5.13566887089043,4.34254496320529
"MA0101.1_REL",1.59951031626097,1.81646538520514,-1.05443980849862,1.74624906451244,-2.02867953765237,-2.66511866847257,-4.9680110130848,0.875193112695295,2.63535709257623,0.0975520697581436,-3.32173806253777,0.27197428237162,1.27098864870416,2.02588748833195
"MA0107.1_RELA",2.09225381713997,2.30224245027533,-1.1562068849159,3.55685718710649,-1.9045323337039,-0.851918814962001,-4.16184920780371,1.56170185117101,1.4280036548758,0.788286046133001,-6.0611334083225,0.142029999582932,0.841531982421163,1.76035689379182
"MA0108.2_TBP",-1.04250206382968,-0.0504150303741724,-5.77347509456558,-0.245389873328717,0.368133747661211,1.23682197322842,2.62477506946999,0.937111081824517,0.47636111487139,3.54961479333978,0.418502771971844,1.99092073102621,1.19596965691884,1.83346964721492
"MA0109.1_HLTF",-0.593763365686844,-0.988895989492131,-1.19256495925776,-0.662589161583569,-2.14264312392935,-2.18908012842732,-2.55634832824217,-0.591167691429676,1.75018790508911,1.93957054928389,-0.827551435331039,2.52466514456506,1.7703116777429,1.6937788518481
"MA0111.1_Spz1",-0.205753307551229,-0.115067060875776,1.33488150911658,0.310562526560518,0.157652850221861,-0.297660153329279,-1.67086308745757,-1.03565065776562,0.510270179748254,-2.19608502212664,-0.357179299172698,-0.135731436243771,0.424898503181177,1.10801112206606
"MA0115.1_NR1H2::RXRA",-13.0547219663868,-12.5663338391576,-14.7523704672337,-16.8923750736931,-11.6768259072677,-11.4436028123917,-7.47227020893146,-0.222505166533535,15.0159829188175,10.892640731555,4.0601348862395,17.5602683478977,17.0776921078353,17.4362575694325
"MA0116.1_Znf423",1.84285150487279,2.32377707196053,1.75280769935096,0.751043879506717,0.955587165472329,-3.74250973722401,-4.4552124551368,-1.29264789664867,0.252192192453606,-2.56989810760133,0.602835758731815,-3.04398651873526,0.821674934291111,0.739947434670774
"MA0119.1_NFIC::TLX1",4.05179670579496,3.12904394397982,3.91582355894517,1.71026667989782,1.45521747171706,-0.0808565784592954,-1.94100024523006,0.248122692716617,-2.20678704259899,-0.46000631661272,-3.69793691682565,-2.40047180087828,-1.89813469719715,-2.95410763497128
"MA0125.1_Nobox",2.08826900092431,1.68992265493534,3.02354956777797,7.02986802124885,2.10198546039229,3.43964620885827,-0.989126781541778,-7.81876000324767,2.01065477836728,-4.80256118223354,-4.9226921662333,-2.58353845494565,-1.1349843618703,0.698476654144293
"MA0130.1_ZNF354C",-0.933891921810045,-1.17605253856075,2.14212365132571,-1.33444498136845,0.75549090547885,-1.29456124588273,-1.32091094628014,-0.343051730910008,0.540165731770134,-1.41854921454007,1.31864207798234,0.335437467981878,1.43761698821045,0.2937530629385
"MA0135.1_Lhx3",1.10213293734394,2.75565457094542,0.403152838824261,6.16213984292196,-4.93946906805011,1.58439888318931,0.997750821796646,-1.94157912105962,-1.7375278213124,3.47470002795939,1.73487501336943,-2.11130985751139,-2.73895506229577,2.29591547006992
"MA0139.1_CTCF",12.9979790513887,1.67710129657413,8.94034067292968,-4.91242060516419,14.3826918363769,-5.08540943245008,9.01426993432349,-10.6221674381377,-7.03316888487815,-14.6951468925489,16.3129648167565,-7.17518438406336,-10.1244497549038,-13.3452286952391
"MA0142.1_Pou5f1::Sox2",25.229789752158,26.9169845317258,11.3010065079634,14.2113801150179,-0.119338771293812,-0.896239980448428,-4.59689060130541,-7.85559527124983,-11.0446586521728,-9.29534761972013,-9.20740742206356,-11.4155683586833,-8.14354411964303,-7.98796767286602
