"","motif","name","variability","bootstrap_lower_bound","bootstrap_upper_bound","var_p_value","var_p_value_adj","var_rank","diff_dev_p_value","diff_dev_p_value_adjusted","highest_enriched","var_cutoff_passed"
"1","MA0002.2_RUNX1","RUNX1",9.00285310960128,4.85454458077484,11.1384402720767,2.59277443519033e-118,9.21052251739041e-118,210,0.00156421761382585,0.0131036209571012,"D14","Not Passed"
"2","MA0003.4_TFAP2A","TFAP2A",6.7530987165673,4.12899817230971,7.48717985089205,4.70893082299255e-65,1.06450375574317e-64,330,0.000836132025808498,0.0131036209571012,"D5","Not Passed"
"3","MA0004.1_Arnt","Arnt",4.97888159184472,2.03946154723236,6.12757222175937,4.53275805535251e-34,7.84556266657303e-34,431,0.0205704652578467,0.0324698261337953,"D14","Not Passed"
"4","MA0006.1_Ahr::Arnt","Ahr::Arnt",4.30008168833135,0.729863503039687,5.02379853263019,8.24859335832051e-25,1.29546329374886e-24,475,0.00571493051787589,0.0191181083692171,"D14","Not Passed"
"5","MA0007.3_Ar","Ar",1.27640954218832,0.60366972994277,1.6314900174326,0.121920400641607,0.124934916042086,728,0.0721652078744869,0.0820659223694623,"D5","Not Passed"
"6","MA0009.2_TBXT","TBXT",5.68908039052694,1.36910471015147,6.78593799983474,2.6708521252205e-45,5.21585257961909e-45,382,0.00113274842127911,0.0131036209571012,"D3","Not Passed"
"7","MA0014.3_PAX5","PAX5",2.22273864937564,1.09735854102679,2.79538826033,1.33885022705464e-05,1.48628313896245e-05,672,0.0711520764386543,0.0811612370385874,"D5","Not Passed"
"8","MA0017.2_NR2F1","NR2F1",4.61360796722183,2.82932105668522,5.25568412048972,6.59157608764139e-29,1.07599907251214e-28,457,0.0976856374755381,0.106852618118404,"D5","Not Passed"
"9","MA0018.4_CREB1","CREB1",7.00618471750907,4.30491992683782,7.8719981501111,2.87842710781958e-70,6.83855612239939e-70,314,0.0381121224771849,0.0496189238533681,"D5","Not Passed"
"10","MA0019.1_Ddit3::Cebpa","Ddit3::Cebpa",4.84001430424894,2.60297133013873,5.95169134431517,4.65872067682337e-32,7.8451594241766e-32,443,0.0305426182859562,0.0418838111053738,"D0","Not Passed"
"11","MA0024.3_E2F1","E2F1",5.19274867410439,2.99720700726108,6.08653182167742,2.75445471232145e-37,4.98743498881505e-37,412,0.0138768901900258,0.0274000487470117,"D0","Not Passed"
"12","MA0025.2_NFIL3","NFIL3",10.5981019122155,4.52299850565892,13.1277524981712,1.72985513698239e-165,9.55905134954712e-165,135,0.000768070098276554,0.0131036209571012,"D14","Not Passed"
"13","MA0027.2_EN1","EN1",8.62154213970026,3.24360158057722,10.5030619910612,3.43014082549862e-108,1.10296769647499e-107,232,0.0211009259714844,0.0329247010383166,"D3","Not Passed"
"14","MA0028.2_ELK1","ELK1",3.2887256183882,1.02889394530755,4.23023638307899,1.02887910634585e-13,1.35608447585514e-13,566,0.242219228158359,0.244513591618587,"D0","Not Passed"
"15","MA0029.1_Mecom","Mecom",12.1661861692337,6.92299116308743,14.6926963477227,1.89439391315953e-219,1.23966478878685e-218,114,0.00555589961144049,0.018784418120847,"D5","Not Passed"
"16","MA0030.1_FOXF2","FOXF2",7.46673706527995,3.45003650948589,9.53562962469718,2.9162287377726e-80,7.52770463106699e-80,289,0.0674918948291543,0.0774599285269987,"D14","Not Passed"
"17","MA0031.1_FOXD1","FOXD1",8.2962235249854,4.09494567071387,10.5283103099203,6.57449005204453e-100,1.96970665816274e-99,248,0.024833337099651,0.0367572807070231,"D14","Not Passed"
"18","MA0032.2_FOXC1","FOXC1",3.8318989975691,2.18768222641059,4.73227888700128,2.86808309813503e-19,4.06766158024474e-19,526,0.132539938157281,0.141369120346194,"D3","Not Passed"
"19","MA0033.2_FOXL1","FOXL1",9.67782104609027,4.83864611625909,12.1554083278826,2.5373921671157e-137,1.13346979441216e-136,164,0.0276328301791832,0.0392649358355632,"D14","Not Passed"
"20","MA0035.4_GATA1","GATA1",16.0476136147082,9.1467478471281,18.6097367496234,0,0,80,0.000698069860733543,0.0131036209571012,"D5","Passed"
"21","MA0036.3_GATA2","GATA2",35.3358149735169,20.9327113145473,40.0938465012176,0,0,4,0.00123912800783711,0.0131036209571012,"D5","Passed"
"22","MA0037.3_GATA3","GATA3",35.9846083315655,18.9225231148313,42.49996401308,0,0,3,1.58052966170596e-06,0.00117907512763264,"D5","Passed"
"23","MA0038.2_GFI1","GFI1",1.40711566942067,0.764155294890508,1.78317414226056,0.053731476572362,0.05544077665696,723,0.0298020936891763,0.0415998245401474,"D5","Not Passed"
"24","MA0039.4_KLF4","KLF4",6.28910930446068,1.55579006930693,7.86398649583552,5.22132710272902e-56,1.08801955827817e-55,358,0.0270581417004517,0.0388928202476627,"D14","Not Passed"
"25","MA0040.1_Foxq1","Foxq1",6.10037854629288,3.78991520685959,6.91086387258143,1.608300206902e-52,3.24268095769971e-52,370,0.0253549272578874,0.0373072499691992,"D14","Not Passed"
"26","MA0041.1_Foxd3","Foxd3",2.76508068551109,1.50962225123514,3.52766029417312,2.92670895778971e-09,3.52149174598569e-09,620,0.202987936303149,0.208006868794161,"D0","Not Passed"
"27","MA0042.2_FOXI1","FOXI1",9.67782104609027,4.83864611625909,12.1554083278826,2.5373921671157e-137,1.13346979441216e-136,163,0.0276328301791832,0.0392649358355632,"D14","Not Passed"
"28","MA0043.3_HLF","HLF",10.1671158710847,5.21842816781051,12.7241936259012,5.64470291563817e-152,2.80729891671072e-151,150,0.000958089377662679,0.0131036209571012,"D14","Not Passed"
"29","MA0046.2_HNF1A","HNF1A",3.64355286108133,1.77030052356488,4.48950297202419,3.09434867131627e-17,4.28271634286073e-17,539,0.0368732566311321,0.0486273537341748,"D5","Not Passed"
"30","MA0047.3_FOXA2","FOXA2",6.97468642686288,3.34203165567589,8.88319961274041,1.3146478167644e-69,3.09377688109226e-69,317,0.047875325234658,0.0590330456612477,"D14","Not Passed"
"31","MA0048.2_NHLH1","NHLH1",3.40520838394555,1.72124546553777,3.90950598694117,7.95764065708994e-15,1.0676978291707e-14,556,0.0190282173555993,0.0311294959370111,"D0","Not Passed"
"32","MA0050.2_IRF1","IRF1",8.96716825118014,3.73386522328831,10.9847204556269,2.3982939727096e-117,8.39965870254159e-117,213,0.0297425105593233,0.0415998245401474,"D0","Not Passed"
"33","MA0051.1_IRF2","IRF2",5.24400959768537,2.7226550354333,6.50282104696262,4.44557980033011e-38,8.12843757609378e-38,408,0.0244646947735872,0.0364284676668584,"D0","Not Passed"
"34","MA0052.4_MEF2A","MEF2A",6.93108741385236,4.30039614824884,7.8260178155176,1.06373822253569e-68,2.4644370000361e-68,322,0.0349679452254474,0.0467809960540046,"D0","Not Passed"
"35","MA0056.2_MZF1","MZF1",1.86386575801664,0.312333446120518,2.37468018340247,0.00100159117274916,0.00107819194065061,693,0.0244434933842968,0.0364284676668584,"D14","Not Passed"
"36","MA0057.1_MZF1(var.2)","MZF1(var.2)",2.38774297184246,1.39855155391397,2.78064234524159,1.31016436266643e-06,1.48538391268869e-06,658,0.125962295188202,0.135595775195381,"D5","Not Passed"
"37","MA0058.3_MAX","MAX",3.09545001535945,1.76721038781637,3.65020279878432,5.75647600579782e-12,7.27852728868673e-12,590,0.0496906699611817,0.0607997243085745,"D14","Not Passed"
"38","MA0059.1_MAX::MYC","MAX::MYC",2.75978766053649,1.41205121007009,3.41555763215555,3.21238516004217e-09,3.85900053042103e-09,621,0.11033637429805,0.11981213278944,"D14","Not Passed"
"39","MA0060.3_NFYA","NFYA",8.88469851428863,5.33994383472374,10.2492818285602,3.96058614817743e-115,1.34913117193624e-114,219,0.0100507081223282,0.0243094462026658,"D0","Not Passed"
"40","MA0062.3_GABPA","GABPA",2.73843406644273,1.12885809066667,3.45875663254291,4.66734521403274e-09,5.58882749545493e-09,623,0.00420068582207981,0.0166249527271435,"D14","Not Passed"
"41","MA0063.2_NKX2-5","NKX2-5",2.94283838673125,1.32411354010712,3.72068337087402,1.13393382783499e-10,1.39820600919818e-10,605,0.0383129753456986,0.0497069210572021,"D5","Not Passed"
"42","MA0065.2_Pparg::Rxra","Pparg::Rxra",6.64627455361339,4.00261033994841,7.94040564744063,6.52012639379494e-63,1.44762330052709e-62,336,0.0378593410300427,0.0495492428217752,"D5","Not Passed"
"43","MA0066.1_PPARG","PPARG",3.04711070809609,1.35229867102547,3.78734359741081,1.50787624320106e-11,1.89373009668012e-11,594,0.019285447844948,0.0313975532107361,"D3","Not Passed"
"44","MA0067.1_Pax2","Pax2",1.41134804416176,0.756469086589707,1.76897681966646,0.0521986379236955,0.0539337727023225,722,0.0300457482807736,0.0416619483595857,"D5","Not Passed"
"45","MA0068.2_PAX4","PAX4",7.67002436032759,1.94859812190265,9.23981805731515,7.007380312561e-85,1.86696632613232e-84,280,0.00437643940683585,0.0169537200940467,"D3","Not Passed"
"46","MA0069.1_PAX6","PAX6",1.7185603838908,0.628847238443455,2.25300777498414,0.00428358271607774,0.00453913736675283,704,0.134860997522363,0.143313823577896,"D5","Not Passed"
"47","MA0070.1_PBX1","PBX1",7.61676853182414,3.41195284765011,9.34943344782452,1.16942766290495e-83,3.09359232811026e-83,282,0.00348550665974555,0.015511794467175,"D5","Not Passed"
"48","MA0071.1_RORA","RORA",2.11622882204514,0.706365720836428,2.6021232098749,5.36028138972037e-05,5.86329899813988e-05,682,0.021411312600393,0.0332075659041439,"D5","Not Passed"
"49","MA0072.1_RORA(var.2)","RORA(var.2)",2.56889122964397,1.30533637424946,3.17109332614889,8.01253237051869e-08,9.36888581255006e-08,638,0.0084856577390086,0.0230192751756379,"D0","Not Passed"
"50","MA0073.1_RREB1","RREB1",5.18540521061044,2.86399886365422,6.29103403990344,3.57140703492516e-37,6.45101609698346e-37,413,0.0379594311077135,0.0495932322352965,"D14","Not Passed"
"51","MA0074.1_RXRA::VDR","RXRA::VDR",5.4133885567459,2.40541030222987,6.74068406958997,9.38409009657227e-41,1.75013280301073e-40,400,0.0264173776908293,0.038266725742444,"D0","Not Passed"
"52","MA0075.3_PRRX2","PRRX2",8.38015508711151,2.28837913498955,10.2957304314435,5.15325835669238e-102,1.5755453828248e-101,244,0.0154657489415645,0.028700121170167,"D3","Not Passed"
