"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000000003",183.276655535927,-0.331846800336064,0.381177482813747,-0.870583429762069,0.383981647263687,0.79221262637571,56666,"PANX2","PANX2",426934,"No"
"ENSGALG00000000011",807.914304281252,0.084091113449657,0.27747477461263,0.303058588179962,0.761845212761648,0.951549098716981,80007,"C10orf88","NULL",NA,"No"
"ENSGALG00000000044",236.429353827439,-1.83995364354558,0.666937565947403,-2.75880942608454,0.00580123551026426,0.102672905518421,117166,"WFIKKN1","NULL",NA,"No"
"ENSGALG00000000048",71.3388185262089,0.196789819109683,0.676942568613179,0.290703862091044,0.7712778175886,0.955178032482391,NA,NA,NA,NA,"No"
"ENSGALG00000000055",791.735766684576,-0.287023079825893,0.265355565487389,-1.0816546443965,0.279406013751945,0.718967756284552,8649,"LAMTOR3","LAMTOR3",425210,"No"
"ENSGALG00000000059",5364.64379506392,1.58553126763453,0.496365808496934,3.19427978416914,0.0014018018835083,0.0419685567727352,NA,"AC092143.1","TUBB3",431043,"No"
"ENSGALG00000000067",425.133211715683,-0.150739861033725,0.364297113437746,-0.413782748952482,0.679033218966738,0.921263192118886,6697,"SPR","SPR",425255,"No"
"ENSGALG00000000071",297.983027686863,-0.592590990354924,0.352146690959303,-1.68279585061729,0.0924146185796532,0.455573664546603,NA,NA,NA,NA,"No"
"ENSGALG00000000081",0.889219352983291,0,5.37805169511548,0,1,NA,NA,NA,NA,NA,"No"
"ENSGALG00000000086",2239.17670635611,0.18579016670332,0.204159157587877,0.910026123238436,0.362808733176153,0.778427775910789,10440,"TIMM17A","TIMM17B",421147,"No"
"ENSGALG00000000091",1107.95544584348,-0.268271804617366,0.242279797178833,-1.107280952606,0.268172476876758,0.70881904715184,92105,"INTS4","INTS4",419028,"No"
"ENSGALG00000000094",841.197263892391,-0.293182764803332,0.231249523317673,-1.26781997470576,0.204862247253608,0.64317766669472,51094,"ADIPOR1","ADIPOR1",421148,"No"
"ENSGALG00000000102",783.913629048069,-0.223105716522253,0.405849448034272,-0.549725317116639,0.582507789420338,0.885249916297219,29089,"UBE2T","UBE2T",421149,"No"
"ENSGALG00000000104",30.6377016895228,-0.516134283395855,0.780560788030623,-0.661235218717656,0.508461478615343,0.857259367083591,NA,NA,NA,NA,"No"
"ENSGALG00000000106",801.15786561844,0.0140927070416036,0.251183156465423,0.0561053027595965,0.955257919603465,0.998034145572213,55791,"LRIF1","LRIF1",421150,"No"
"ENSGALG00000000107",11.5374970082372,-3.70496942460845,1.22773165806603,-3.01773551269719,0.00254671067189988,0.0608973333725751,NA,NA,NA,NA,"No"
"ENSGALG00000000109",570.109164315102,-0.0579110083080033,0.454916332204847,-0.127300349994746,0.898702683305622,0.986797023069036,125061,"AFMID","AFMID",769005,"No"
"ENSGALG00000000112",185.076651216887,2.45061782489962,0.746234367612822,3.28397877564801,0.00102352630196214,0.0348861648416364,5354,"PLP1","PLP1",396214,"No"
"ENSGALG00000000115",20.2796654926387,-4.2807965312586,1.62309994115651,-2.63742017525329,0.00835392844333073,0.127629896479399,57152,"SLURP1","HEP21",395192,"No"
"ENSGALG00000000120",21.6820999221618,-3.22030082535162,1.36190729851921,-2.36455214598895,0.0180518858273909,0.198534275645083,27302,"BMP10","BMP10",395177,"No"
"ENSGALG00000000122",32562.4404550306,0.368955510178917,0.358079103758311,1.03037431200662,0.302834327088737,0.736324286141619,10399,"RACK1","RACK1",417044,"No"
"ENSGALG00000000129",1554.58264918351,0.315652034749746,0.347444883692147,0.908495273827169,0.363616609637605,0.779342056246899,22980,"TCF25","TCF25",425450,"Transcription Factor"
"ENSGALG00000000136",2.18320377436288,0,2.8902658307724,0,1,1,NA,NA,NA,NA,"No"
