"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000000112",185.076651216887,2.54393932740282,0.741423455513085,3.43115571605749,0.000601015495144935,0.0412182362097575,5354,"PLP1","PLP1",396214,"No"
"ENSGALG00000004028",310.24533784054,2.16323138347495,0.580335056717567,3.72755593244773,0.000193345660737904,0.0177018693831148,8785,"MATN4","MATN4",428140,"No"
"ENSGALG00000004631",1690.78390537781,1.56173256491377,0.407058393859853,3.83663029302736,0.000124734032234166,0.0122586488042138,374946,"DRAXIN","DRAXIN",419492,"No"
"ENSGALG00000005263",380.460706656349,1.89269329677615,0.489268050308633,3.86841792670139,0.000109543795033438,0.0111640608745161,30812,"SOX8","SOX8",395483,"Transcription Factor"
"ENSGALG00000006252",3131.21910113122,1.6034503157093,0.248482033798871,6.45298290260769,1.09669736079777e-10,2.45284198294998e-07,8543,"LMO4","LMO4",373901,"No"
"ENSGALG00000006676",116.401473605027,2.22167505695898,0.563648096685821,3.94159950157225,8.09400449925365e-05,0.00897870952444845,6017,"RLBP1","RLBP1",415492,"No"
"ENSGALG00000008615",356.841885455239,2.31926404097097,0.61646584027632,3.76219392777935,0.00016842936638058,0.0156031370417418,NA,NA,NA,NA,"No"
"ENSGALG00000009129",983.684767575627,1.74816359257438,0.49052911562563,3.56383247576392,0.000365479257038986,0.027776423534963,1749,"DLX5","DLX5",373969,"Transcription Factor"
"ENSGALG00000010342",118.660688354116,2.94995915158108,0.845108438042028,3.49062797008114,0.000481886769046221,0.0349242142799034,283310,"OTOGL","OTOGL",772154,"No"
"ENSGALG00000011859",35.9073629392635,3.16455682331722,0.723640083877557,4.37310880619028,1.22489636079183e-05,0.00226017353999409,3047,"HBG1","GBE",417972,"No"
"ENSGALG00000012290",2928.93461858661,3.04089684870696,0.669256128644288,4.54369667838067,5.52761819564851e-06,0.0012382988097721,6663,"SOX10","SOX10",395573,"Transcription Factor"
"ENSGALG00000012775",1328.61146368076,1.83780314335316,0.512578909458776,3.58540530919165,0.000336555103884324,0.0262144612259352,7020,"TFAP2A","TFAP2A",112531237,"Transcription Factor"
"ENSGALG00000015970",649.145597962463,1.64482913092302,0.443919520598218,3.70524172648791,0.000211189228434241,0.018891920241107,1297,"COL9A1","COL9A1",771873,"No"
"ENSGALG00000016680",1143.95462562915,3.03246628610858,0.619146250010228,4.89781903073545,9.69062190578356e-07,0.000354476461939528,7021,"TFAP2B","TFAP2B",395713,"Transcription Factor"
"ENSGALG00000016912",563.278815414411,2.01196499565853,0.520181345448832,3.86781458670443,0.000109815110799405,0.0111640608745161,NA,NA,NA,NA,"No"
"ENSGALG00000035017",340.632166020057,1.89048977096964,0.52476784071478,3.60252596347106,0.00031513991247254,0.0249183357054045,NA,NA,NA,NA,"No"
"ENSGALG00000035985",5.24105248514987,4.77223284368498,1.37642233275387,3.46712831528748,0.000526050705525823,0.0370984227284337,NA,NA,NA,NA,"No"
"ENSGALG00000037050",511.525586943248,2.41765153491655,0.692851663924626,3.48942156135105,0.000484067098795289,0.0349242142799034,2170,"FABP3","FABP3",419557,"No"
"ENSGALG00000040730",536.578012570728,2.70360382176467,0.566903544242554,4.76907200391027,1.85076505276932e-06,0.000526828684839208,6258,"RXRG","RXRG",396231,"Transcription Factor"
"ENSGALG00000042686",1331.90599818628,3.56382801575926,0.634550661260422,5.61630179169674,1.9508780185797e-08,1.79664389758139e-05,NA,NA,NA,NA,"No"
"ENSGALG00000043204",402.092232238809,2.04363662867263,0.495362504445185,4.12553758173832,3.69869774892885e-05,0.00521682990605676,5081,"PAX7","PAX7",395942,"Transcription Factor"
"ENSGALG00000054650",119.930024649543,2.54635952618534,0.6338797304792,4.01710198914286,5.89182291516492e-05,0.00720643590311109,100499483,"CCDC180","LOC112529956",112529956,"No"
