"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000002203",248.043832090096,1.83349754661872,0.528965358039381,3.46619588362952,0.00052787853987507,0.035474325070428,395453,8817,"FGF18","No"
"ENSGALG00000003670",826.234875563859,1.79902541560421,0.475267199125883,3.7852926078488,0.00015352782556966,0.0160594635080818,419173,9935,"MAFB","Transcription Factor"
"ENSGALG00000010986",78.7962963705126,1.95916353787967,0.52641220847189,3.72172891576143,0.000197863377370311,0.0191795567130955,771582,2786,"GNG4","No"
"ENSGALG00000012156",210.511803581974,1.58586292646628,0.309532569574365,5.12341214576219,3.00055485910026e-07,0.000150247243906005,424280,57628,"DPP10","No"
"ENSGALG00000012290",2928.93461858661,2.06956956270913,0.518335819907842,3.99271955211796,6.53198061379784e-05,0.00849369901927501,395573,6663,"SOX10","Transcription Factor"
"ENSGALG00000015018",22.8698256421434,3.1638044338249,0.825865164783876,3.83089706254028,0.000127676915709238,0.0140832040679556,395198,845,"CASQ2","No"
"ENSGALG00000015075",710.310210413407,1.51635269153347,0.344150445505901,4.40607505041707,1.05260505964995e-05,0.00224471537653885,408180,NA,"B3GAT1L","No"
"ENSGALG00000016912",563.278815414411,1.68898371974408,0.402012100222119,4.20132557903327,2.65356648857017e-05,0.00445415837499122,408082,NA,"EDNRB","No"
"ENSGALG00000019663",194.753392068868,1.5721611454125,0.344193781136623,4.5676628445197,4.93192488258088e-06,0.00121355702418459,420531,414149,"ACBD7","No"
"ENSGALG00000020788",553.234080709484,1.56039601064673,0.37006421691807,4.21655469324177,2.48063143639018e-05,0.00422076799932177,770766,285025,"CCDC141","No"
"ENSGALG00000027219",29.7513432414725,3.28613042952545,0.956391273938917,3.43596864491607,0.000590439302212394,0.0382327376501418,396365,NA,NA,"No"
"ENSGALG00000030372",120.692747853586,2.42471146263969,0.688910896018146,3.51963000825556,0.000432149183033403,0.031275086124146,100859605,4359,"MPZ","No"
"ENSGALG00000039334",46.4181746418572,2.42109982586394,0.715372994342713,3.3843880674982,0.000713370987633675,0.0431357615724117,423013,388115,"CCDC9B","No"
"ENSGALG00000039587",86.8625477154725,2.38674454057145,0.700629773265912,3.40657024814388,0.00065784619025552,0.040781364212972,416717,79953,"SYNDIG1","No"
"ENSGALG00000040730",536.578012570728,1.91907304543074,0.439613286020635,4.36536634914319,1.26909879572356e-05,0.00253724576735033,396231,6258,"RXRG","Transcription Factor"
"ENSGALG00000042607",346.893095246133,2.28814343206621,0.551676342259017,4.1476192774493,3.35950454235162e-05,0.00508237207378977,421715,84870,"RSPO3","No"
"ENSGALG00000042686",1331.90599818628,2.17666943109729,0.492377966673596,4.4207287458503,9.83685927094872e-06,0.00212609090783181,395794,NA,"FOXD3","Transcription Factor"
"ENSGALG00000043009",708.207175740615,1.78659313749054,0.490455503827063,3.64272217061407,0.000269769963185035,0.0239705599510081,396160,7471,"WNT1","No"
"ENSGALG00000046682",51.8037318989641,2.11096977965216,0.537687291970192,3.92601761502891,8.63638336658901e-05,0.010463414934095,NA,NA,NA,"No"
"ENSGALG00000055082",87.7489659647779,2.49954436478192,0.643132101909261,3.88651780460273,0.000101692471179969,0.0117860100293654,NA,NA,NA,"No"
