"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000003",183.276655535927,-0.248611604447333,0.383249686370172,-0.64869356267967,0.516536466068653,1,426934,56666,"PANX2","No"
"ENSGALG00000000011",807.914304281252,-0.209695592143445,0.278110966061333,-0.753999725768456,0.450849386411276,1,NA,80007,"C10orf88","No"
"ENSGALG00000000044",236.429353827439,-0.648984436019023,0.670850080448854,-0.967406064235394,0.333341079703175,1,NA,117166,"WFIKKN1","No"
"ENSGALG00000000048",71.3388185262089,1.05329013418505,0.683742151826739,1.5404785727646,0.123443741865153,0.816070533044647,776719,NA,NA,"No"
"ENSGALG00000000055",791.735766684576,-0.200200408291432,0.266022139565917,-0.752570476344976,0.451708064495723,1,425210,8649,"LAMTOR3","No"
"ENSGALG00000000059",5364.64379506392,0.684097393021171,0.496471637587427,1.37791837685935,0.168228490453508,0.899928856104575,431043,10381,"TUBB3","No"
"ENSGALG00000000067",425.133211715683,-0.0890163245291253,0.367835903217336,-0.242000097735239,0.808780087498507,1,425255,6697,"SPR","No"
"ENSGALG00000000071",297.983027686863,0.057306902613176,0.350544245729625,0.163479798374374,0.870140677732843,1,101750305,NA,NA,"No"
"ENSGALG00000000081",0.889219352983291,1.67292852970792,5.19264460119137,0.322172738208213,0.7473218360871,NA,417039,NA,"IL4I1","No"
"ENSGALG00000000086",2239.17670635611,-0.40357752742166,0.204475004795422,-1.9737254821216,0.0484129660379408,0.580040570760415,421147,10440,"TIMM17B","No"
"ENSGALG00000000091",1107.95544584348,0.224092182849756,0.243548220660939,0.920114227242625,0.357513070337798,1,419028,92105,"INTS4","No"
"ENSGALG00000000094",841.197263892391,-0.137890914886434,0.231915823843181,-0.594573119683605,0.552128852461641,1,421148,51094,"ADIPOR1","No"
"ENSGALG00000000102",783.913629048069,-0.683399223308152,0.405666114958666,-1.68463472325704,0.0920590677253158,0.740828481533326,421149,29089,"UBE2T","No"
"ENSGALG00000000104",30.6377016895228,0.27837655911616,0.794310772775737,0.350463028649815,0.725991231754727,1,395100,NA,NA,"No"
"ENSGALG00000000106",801.15786561844,-0.116289477700702,0.251781362562195,-0.461866901176916,0.644176771090349,1,421150,55791,"LRIF1","No"
"ENSGALG00000000107",11.5374970082372,-2.92427275800767,1.33486972635481,-2.19068025910897,0.0284749386224234,0.452290995476442,417040,NA,"TRIM7.1","No"
"ENSGALG00000000109",570.109164315102,0.043750575224392,0.455768634111314,0.0959929489437104,0.923526172629888,1,769005,125061,"AFMID","No"
"ENSGALG00000000112",185.076651216887,0.622848795248702,0.746448326274822,0.834416493847675,0.404046325964241,1,396214,5354,"PLP1","No"
"ENSGALG00000000115",20.2796654926387,-4.81736347611712,1.59041186285947,-3.0290037370922,0.00245361647834605,0.100938452528065,395192,57152,"HEP21","No"
