"","Chick_ENSEMBL","HH6","HH8","HH10","HH12","HH14","HH16","Symbol","Chick_Entrezid","Human_Entrezid","TF_Status"
"1","ENSGALG00000000003",7.34012783725955,7.27200298210593,7.34361522951783,7.3681646508571,7.61292454779334,7.65617374368732,"PANX2",426934,56666,"No"
"2","ENSGALG00000000011",9.61309487585024,9.5286842412412,9.66666671333695,9.69164223268767,9.76466486563449,9.67642443613095,"C10orf88",NA,80007,"No"
"3","ENSGALG00000000044",6.79738572712736,6.03413956482801,6.77374460590078,6.72153893841139,7.50354650099274,7.78234923093051,"WFIKKN1",NA,117166,"No"
"4","ENSGALG00000000048",6.30658962559243,6.26667227790369,6.00294425476957,6.10423534856627,6.20013278888074,5.57152625881706,NA,776719,NA,"No"
"5","ENSGALG00000000055",9.63272885028994,9.63585103710038,9.52575094621823,9.32341950241318,9.48115078646525,9.70421865558397,"LAMTOR3",425210,8649,"No"
"6","ENSGALG00000000059",12.5305614753357,12.7342897376082,12.9540022640546,12.3093460577142,12.074576172198,12.4630375187669,"TUBB3",431043,10381,"No"
"7","ENSGALG00000000067",8.43576466779011,8.26355690708095,8.7622564034674,8.67248166632768,8.68806990898126,8.76411584125595,"SPR",425255,6697,"No"
"8","ENSGALG00000000071",8.67034788153082,8.70338519985776,7.86268087726978,7.9205891750154,7.86836750246683,7.64860935045412,NA,101750305,NA,"No"
"9","ENSGALG00000000081",-0.130548603298877,-0.236055145387672,-0.278309825236677,-0.276859212214261,-0.251284790143699,-0.278180006357544,"IL4I1",417039,NA,"No"
"10","ENSGALG00000000086",10.8819594771566,10.730538925675,11.0499082084126,11.0918926130872,11.0766764616859,11.4286267531181,"TIMM17B",421147,10440,"No"
"11","ENSGALG00000000091",10.1358531659198,10.2035705402503,10.0391212255183,10.1228278780671,10.1152570830017,10.0277143077742,"INTS4",419028,92105,"No"
"12","ENSGALG00000000094",9.64234274350012,9.64935901235952,9.46110717915903,9.55213887488677,9.656922580231,9.73904213633463,"ADIPOR1",421148,51094,"No"
"13","ENSGALG00000000102",9.61340289536288,9.40463814137938,9.36791574846082,9.09703360255221,9.15531743443214,9.37485934714154,"UBE2T",421149,29089,"No"
"14","ENSGALG00000000104",4.80888878649394,4.57866815004088,4.71433270110593,4.53716584588817,4.76367265529439,4.80807495864754,NA,395100,NA,"No"
"15","ENSGALG00000000106",9.64600774411453,9.70751707263114,9.57859666770121,9.82380732453628,9.61314248168832,9.30649782388303,"LRIF1",421150,55791,"No"
"16","ENSGALG00000000107",2.92713075024099,2.93367242390051,2.98500798358138,3.07497558781091,3.01838645552019,3.0178267307934,"TRIM7.1",417040,NA,"No"
"17","ENSGALG00000000109",8.93842804598131,8.85741344762664,8.86632052506922,8.35548661797487,9.07505968864961,9.40168430638697,"AFMID",769005,125061,"No"
"18","ENSGALG00000000112",7.2907553251841,7.25048903192261,7.89975431138205,8.45650621932073,8.1158492062931,6.15493318116249,"PLP1",396214,5354,"No"
"19","ENSGALG00000000115",2.85720772087049,2.84571856975549,2.79965064233304,2.8038620482584,2.83523297297975,2.68867292853559,"HEP21",395192,57152,"No"
"20","ENSGALG00000000120",3.11916308544896,3.09311278153472,3.49807804243736,3.46624955934058,3.25558161006708,3.04105525822329,"BMP10",395177,27302,"No"
"21","ENSGALG00000000122",14.9331936464331,14.722530204443,15.1175948783666,14.8377336966843,15.1877547898783,14.9909772226457,"GNB2L1",417044,10399,"No"
