"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"ENSGALG00000054818",0.980775604153972,1,-132.992508515471,-133.551122889189,13,7,9.07162267365336,0,0,0,FALSE
"ENSGALG00000053455",0.206766306751396,0.728238144604139,-58.0685988962883,-62.2950300773657,13,7,1.19616133376438,0,0,0,FALSE
"ENSGALG00000045540",0.121885876429232,0.533411951465546,-224.54056240367,-229.573733358473,13,7,174.017816431832,0,0,0,FALSE
"ENSGALG00000051297",0.738530732761266,1,-263.404682850641,-265.175094193406,13,7,347.45467413878,0,0,0,FALSE
"ENSGALG00000042023",0.000318334204414129,0.00516382931771501,-264.324474120475,-276.906659977587,13,7,585.010987966572,0,0,0,FALSE
"ENSGALG00000049206",0.975248508147949,1,-56.5693309994408,-57.1855859421191,13,7,0.968499370376069,0,0,0,FALSE
"ENSGALG00000029624",0.0792557127816843,0.402637188429588,-270.026241471387,-275.681232028229,13,7,774.730111344292,0,0,0,FALSE
"ENSGALG00000038527",0.216724859312648,0.743667845096427,-262.043539932681,-266.195111216311,13,7,458.482391657306,0,0,0,FALSE
"ENSGALG00000052679",0.975316799064281,1,-82.1721602258653,-82.7877486175892,13,7,2.06790169241464,0,0,0,FALSE
"ENSGALG00000042611",0.798527991059509,1,-240.918086126117,-242.458924359751,13,7,177.17625237332,0,0,0,FALSE
"ENSGALG00000048560",0.225417901597454,0.75881135282378,-51.2245183584556,-55.3130374559841,13,7,2.46915262704314,0,0,0,FALSE
"ENSGALG00000050315",0.638144537513281,1,-259.100710805035,-261.24330090484,13,7,448.701584090057,0,0,0,FALSE
"ENSGALG00000048857",0.875086356508758,1,-67.555778793815,-68.7759376508038,13,7,1.49940067443642,0,0,0,FALSE
"ENSGALG00000049873",0.987932103894811,1,-212.411114859223,-212.878974042832,13,7,70.6342969060364,0,0,0,FALSE
"ENSGALG00000053510",0.994252100002987,1,-191.586092385351,-191.941558289745,13,7,57.7002730475881,0,0,0,FALSE
"ENSGALG00000051677",0.485696334902366,1,-122.960830924899,-125.693333599951,13,7,7.02663059889279,0,0,0,FALSE
"ENSGALG00000031626",0.834859628729831,1,-64.3889143708093,-65.7832720761605,13,7,1.91918390289609,0,0,0,FALSE
"ENSGALG00000041494",0.896835086291199,1,-295.989358693372,-297.107014721805,13,7,1220.16764908852,0,0,0,FALSE
"ENSGALG00000039682",0.711499423884207,1,-150.982314081965,-152.853475549659,13,7,16.2951453805062,0,0,0,FALSE
"ENSGALG00000038044",0.631436566824329,1,-221.768754483575,-223.936269725317,13,7,116.588029092813,0,0,0,FALSE
"ENSGALG00000032458",0.719616363071747,1,-237.96924525461,-239.81025421131,13,7,273.934893782746,0,0,0,FALSE
"ENSGALG00000047768",0.993317511298656,1,-75.2421691277806,-75.6177947552104,13,7,2.55349122551606,0,0,0,FALSE
"ENSGALG00000035824",0.516561026737531,1,-259.432715931998,-262.040165445721,13,7,588.586838856775,0,0,0,FALSE
"ENSGALG00000033919",0.0183326277366313,0.143685717233249,-309.613865331518,-317.24354424271,13,7,1609.57157872963,0,0,0,FALSE
"ENSGALG00000051055",0.914409106287162,1,-279.744142217323,-280.772500629907,13,7,509.404800529326,0,0,0,FALSE
"ENSGALG00000052929",0.838651236197583,1,-202.953415248874,-204.331990550051,13,7,56.8151042563519,0,0,0,FALSE
"ENSGALG00000054904",0.196660370116751,0.708349215972009,-232.347868261622,-236.653411498015,13,7,159.041423117576,0,0,0,FALSE
"ENSGALG00000050267",0.00311753109879206,0.035635417787602,-269.915207754751,-279.770537191056,13,7,1270.68542533027,0,0,0,FALSE
"ENSGALG00000054662",0.304813376687729,0.880329234186908,-209.500985276952,-213.089343888464,13,7,94.3256407239716,0,0,0,FALSE
"ENSGALG00000048059",0.478903704669256,1,-172.086768810299,-174.847345593897,13,7,39.7353860011745,0,0,0,FALSE
"ENSGALG00000053846",0.317323432915056,0.896796499958716,-283.339450574183,-286.858580576962,13,7,577.676167307258,0,0,0,FALSE
"ENSGALG00000054163",0.933756647855273,1,-164.463169617927,-165.383484817174,13,7,22.1583508515661,0,0,0,FALSE
"ENSGALG00000047166",0.674589135547634,1,-250.455961865221,-252.463673420218,13,7,462.517964182285,0,0,0,FALSE
"ENSGALG00000048258",0.0014385113543149,0.0189888490185017,-202.575068295319,-213.36828019104,13,7,76.3264513262818,0,0,0,FALSE
"ENSGALG00000054512",0.00219761660082107,0.0267241031087501,-220.831812901087,-231.11317892026,13,7,110.007913675046,0,0,0,FALSE
"ENSGALG00000053334",0.224469879655697,0.756194369427231,-54.5111324162052,-58.606429327181,13,7,1.04513533295093,0,0,0,FALSE
"ENSGALG00000049223",0.942029657411763,1,-43.1362187001182,-44.0059787007119,13,7,0.68995974534206,0,0,0,FALSE
"ENSGALG00000054297",0.878698621120512,1,-294.483842492337,-295.687473990107,13,7,1240.87445963595,0,0,0,FALSE
"ENSGALG00000049264",0.457452409310506,1,-267.376320273947,-270.227037505584,13,7,417.110709527919,0,0,0,FALSE
"ENSGALG00000043476",0.913763384386621,1,-279.072445036186,-280.104213011965,13,7,609.445227438192,0,0,0,FALSE
"ENSGALG00000033149",0.187270286776103,0.685912385657802,-245.241579619037,-249.623760660142,13,7,500.18675650336,0,0,0,FALSE
"ENSGALG00000043771",0.954698048948279,1,-241.802882131204,-242.587966092421,13,7,266.56104010746,0,0,0,FALSE
"ENSGALG00000029341",0.704600702527988,1,-277.894507201231,-279.791246020073,13,7,653.306513768052,0,0,0,FALSE
"ENSGALG00000043178",0.723697630729841,1,-334.060302241219,-335.886121539259,13,7,2899.87936119301,0,0,0,FALSE
"ENSGALG00000041965",0.555622212763471,1,-172.689114879041,-175.143283793577,13,7,26.3739558515444,0,0,0,FALSE
"ENSGALG00000041528",0.858873385900664,1,-351.904436587433,-353.196774260548,13,7,4820.89331880744,0,0,0,FALSE
"ENSGALG00000054793",0.707223153623613,1,-305.190790758252,-307.077811413136,13,7,1769.94400693543,0,0,0,FALSE
"ENSGALG00000046885",0.536051129182927,1,-255.638978194754,-258.16933092701,13,7,278.283700286814,0,0,0,FALSE
"ENSGALG00000039982",0.638566674225197,1,-168.007627618857,-170.148650616105,13,7,24.647623308733,0,0,0,FALSE
"ENSGALG00000039420",0.937783646932457,1,-294.593638168331,-295.489738555462,13,7,1533.29648866662,0,0,0,FALSE
"ENSGALG00000051854",0.309382806041278,0.887162406273493,-263.021399986227,-266.584228307053,13,7,261.654747776334,0,0,0,FALSE
"ENSGALG00000036114",0.694024715441571,1,-335.964818612661,-337.90070251804,13,7,4293.65805056831,0,0,0,FALSE
"ENSGALG00000032868",0.000960117905004962,0.0135825429991911,-280.993767126376,-292.271214730327,13,7,1164.76711042023,0,0,0,FALSE
"ENSGALG00000038520",0.0303863857943615,0.210002493604597,-260.984952116057,-267.951767934547,13,7,440.413712593944,0,0,0,FALSE
"ENSGALG00000047596",0.759125599226834,1,-172.25672610064,-173.949514831471,13,7,26.8272910804547,0,0,0,FALSE
"ENSGALG00000040060",0.953764963508058,1,-268.975387149531,-269.767076002354,13,7,348.437824973885,0,0,0,FALSE
"ENSGALG00000031975",0.328441618950756,0.911595163430949,-292.372313927328,-295.831609151141,13,7,1229.94427114343,0,0,0,FALSE
"ENSGALG00000008003",0.998726568011038,1,-265.322914214399,-265.530297594564,13,7,623.491003003567,0,0,0,FALSE
"ENSGALG00000008013",0.842834602072733,1,-245.841766217541,-247.2027969678,13,7,350.354189801307,0,0,0,FALSE
"ENSGALG00000028816",0.994499842898257,1,-98.5760105500019,-98.9258071195969,13,7,3.16704119591013,0,0,0,FALSE
"ENSGALG00000036140",0.643320618807296,1,-111.600978050437,-113.724363691006,13,7,6.40009113425207,0,0,0,FALSE
"ENSGALG00000008036",0.56122045759233,1,-281.546082219228,-283.978661345566,13,7,924.70410689087,0,0,0,FALSE
"ENSGALG00000008087",0.934011353231462,1,-28.436445604702,-29.355249791663,13,7,0.788196333112589,0,0,0,FALSE
