"","Chick_ENSEMBL","Symbol","Chick_Entrezid","Human_Entrezid","TF_Status","Group"
"ENSGALG00000000044","ENSGALG00000000044","WFIKKN1",NA,117166,"No","blue"
"ENSGALG00000000059","ENSGALG00000000059","TUBB3",431043,10381,"No","midnightblue"
"ENSGALG00000000107","ENSGALG00000000107","TRIM7.1",417040,NA,"No","midnightblue"
"ENSGALG00000000112","ENSGALG00000000112","PLP1",396214,5354,"No","greenyellow"
"ENSGALG00000000115","ENSGALG00000000115","HEP21",395192,57152,"No","blue"
"ENSGALG00000000120","ENSGALG00000000120","BMP10",395177,27302,"No","greenyellow"
"ENSGALG00000000227","ENSGALG00000000227","DPYSL2",395155,1808,"No","turquoise"
"ENSGALG00000000242","ENSGALG00000000242","EBF2",395176,64641,"Transcription Factor","blue"
"ENSGALG00000000302","ENSGALG00000000302","TNNT2",396433,7139,"No","greenyellow"
"ENSGALG00000000313","ENSGALG00000000313","TNNI1",421161,7135,"No","turquoise"
"ENSGALG00000000318","ENSGALG00000000318","CSRP1",396176,1465,"No","blue"
"ENSGALG00000000336","ENSGALG00000000336","PPP1R12B",NA,4660,"No","blue"
"ENSGALG00000000365","ENSGALG00000000365","NKX2-6",396037,NA,"Transcription Factor","greenyellow"
"ENSGALG00000000374","ENSGALG00000000374","RNPEP",421165,6051,"No","greenyellow"
"ENSGALG00000000379","ENSGALG00000000379","ITGB3",374209,3690,"No","midnightblue"
"ENSGALG00000000400","ENSGALG00000000400","KCNC4",419806,3749,"No","blue"
"ENSGALG00000000402","ENSGALG00000000402","LOXL2",419533,4017,"No","blue"
"ENSGALG00000000424","ENSGALG00000000424","CMTM3",414829,123920,"No","red"
"ENSGALG00000000437","ENSGALG00000000437","PGA3",395926,NA,"No","black"
"ENSGALG00000000442","ENSGALG00000000442","KCNA2",395117,3737,"No","blue"
"ENSGALG00000000458","ENSGALG00000000458","TMPRSS9",428320,360200,"No","blue"
"ENSGALG00000000498","ENSGALG00000000498","ACE",419953,NA,"No","blue"
"ENSGALG00000000505","ENSGALG00000000505","KCNH6",414871,81033,"No","blue"
"ENSGALG00000000528","ENSGALG00000000528","DBNDD1",415857,79007,"No","grey60"
"ENSGALG00000000529","ENSGALG00000000529","LIMD2",419955,80774,"No","yellow"
"ENSGALG00000000564","ENSGALG00000000564","CCDC47",419958,57003,"No","blue"
"ENSGALG00000000583","ENSGALG00000000583","SOX13",419820,9580,"Transcription Factor","blue"
"ENSGALG00000000585","ENSGALG00000000585","MYL4",396472,NA,"No","midnightblue"
"ENSGALG00000000604","ENSGALG00000000604",NA,107049081,NA,"No","blue"
"ENSGALG00000000608","ENSGALG00000000608","CDH1",415860,999,"No","blue"
"ENSGALG00000000619","ENSGALG00000000619","ANGPTL4",769087,51129,"No","blue"
"ENSGALG00000000621","ENSGALG00000000621","KANK3",428321,256949,"No","midnightblue"
"ENSGALG00000000645","ENSGALG00000000645","ESPN",NA,83715,"No","yellow"
"ENSGALG00000000653","ENSGALG00000000653","CNTN2",419825,6900,"No","blue"
"ENSGALG00000000674","ENSGALG00000000674","MYO1D",419963,4642,"No","blue"
"ENSGALG00000000690","ENSGALG00000000690","GDPD4",419084,220032,"No","red"
"ENSGALG00000000699","ENSGALG00000000699","WWP2",415868,11060,"No","midnightblue"
"ENSGALG00000000818","ENSGALG00000000818",NA,428121,NA,"No","red"
"ENSGALG00000000824","ENSGALG00000000824",NA,428278,NA,"No","greenyellow"
"ENSGALG00000000839","ENSGALG00000000839","WNT11",395562,7481,"No","yellow"
"ENSGALG00000000866","ENSGALG00000000866","SELENBP1",425664,8991,"No","yellow"
"ENSGALG00000000920","ENSGALG00000000920","CGN",425665,NA,"No","blue"
"ENSGALG00000000927","ENSGALG00000000927","ANGPTL2",776031,23452,"No","lightcyan"
"ENSGALG00000001021","ENSGALG00000001021","MYOCD",427790,93649,"No","blue"
"ENSGALG00000001024","ENSGALG00000001024","TPRG1L",419384,127262,"No","blue"
"ENSGALG00000001036","ENSGALG00000001036","ELAC2",417313,60528,"No","midnightblue"
"ENSGALG00000001038","ENSGALG00000001038","MAN1C1",419588,57134,"No","greenyellow"
"ENSGALG00000001124","ENSGALG00000001124","LHX2",395705,9355,"Transcription Factor","greenyellow"
"ENSGALG00000001130","ENSGALG00000001130","GALNT17",417480,64409,"No","blue"
"ENSGALG00000001143","ENSGALG00000001143","ETS1",396235,2113,"Transcription Factor","midnightblue"
"ENSGALG00000001161","ENSGALG00000001161","FLI1",419723,2313,"Transcription Factor","blue"
"ENSGALG00000001169","ENSGALG00000001169","CRB2",417104,286204,"No","greenyellow"
"ENSGALG00000001171","ENSGALG00000001171","SEMA6B",428330,10501,"No","blue"
"ENSGALG00000001172","ENSGALG00000001172","KBP",396300,NA,"No","blue"
"ENSGALG00000001177","ENSGALG00000001177","CD34",419856,947,"No","grey60"
"ENSGALG00000001191","ENSGALG00000001191","MEOX1",395533,4222,"Transcription Factor","turquoise"
"ENSGALG00000001250","ENSGALG00000001250","APLP2",419727,334,"No","blue"
"ENSGALG00000001262","ENSGALG00000001262","CLIC4",419595,25932,"No","yellow"
