"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000690",930.730582579106,2.01835287283852,0.441944005982418,44.3939321859625,6.17474221781993e-08,2.24451879617755e-06,419084,220032,"GDPD4","No"
"ENSGALG00000000824",11.5322849520739,2.06802821841654,1.41556844646626,35.7794960384507,3.04241812714256e-06,7.72387865484416e-05,428278,NA,NA,"No"
"ENSGALG00000001124",211.475373657354,1.82571395377901,0.72410837270684,28.0520327011525,9.18661438058349e-05,0.00151318960250311,395705,9355,"LHX2","Transcription Factor"
"ENSGALG00000001387",12.1112700120469,1.85435259659573,1.60638184998163,35.037220329515,4.23853335766316e-06,0.000103656120064931,NA,124976,"SPNS2","No"
"ENSGALG00000001512",60.078578536107,1.9641448887533,1.00139298306444,19.6934030446416,0.00313959066551722,0.0303228340001705,374228,3752,"KCND3","No"
"ENSGALG00000001883",767.668978875341,1.50296211438684,0.415131591275054,31.2240139713286,2.29708280231898e-05,0.000463883110357193,396159,10610,"ST6GALNAC2","No"
"ENSGALG00000002223",148.170845520184,3.69221869156011,1.11852982601154,21.5073301375289,0.00148659127214286,0.0167322595402202,396397,56956,"LHX9","Transcription Factor"
"ENSGALG00000002395",122.622076216497,3.66357420719285,1.31573968435657,26.0276355876018,0.000220018647471631,0.00326738927359449,423623,NA,NA,"No"
"ENSGALG00000002708",549.991181734806,1.78971997846924,0.327777671542262,63.5968630772172,8.34058160463904e-12,6.14743143707819e-10,NA,84894,"LINGO1","No"
"ENSGALG00000002763",2905.54107191869,1.56834756079109,0.307798067607726,82.5039066136372,1.08495343940586e-15,1.38821962478858e-13,395545,2487,"FRZB","No"
"ENSGALG00000002974",10.6376996983235,1.54896212641761,1.28748111228385,30.7251423838233,2.86030468661407e-05,0.000554517735244915,424789,80309,"SPHKAP","No"
"ENSGALG00000003105",46.7760247766867,1.94424322686422,0.897530120639234,21.6870350046654,0.00137954786414613,0.0157828959507534,427807,162282,"ANKFN1","No"
"ENSGALG00000003126",77.2193455374823,2.0353393032928,0.8162706959043,32.962489818732,1.066153724898e-05,0.000236178153407461,395671,2066,"ERBB4","No"
"ENSGALG00000003690",67.3271084739581,1.53127502616776,0.674825798915597,27.1139597739929,0.00013785917089317,0.00216168586202486,408039,NA,"KRT14","No"
"ENSGALG00000003833",289.897437655983,1.8361731999536,0.446279533887304,35.4776763773911,3.48185616545477e-06,8.7423559670775e-05,424412,777,"CACNA1E","No"
"ENSGALG00000003895",164.596276944247,2.83425939980013,0.941724937153814,21.1933691504485,0.0016934542567479,0.0186024089165014,417183,59335,"PRDM12","Transcription Factor"
"ENSGALG00000004083",128.126582101335,1.69564258457272,0.592582713416742,28.8080088208482,6.61430278958649e-05,0.00113874229081428,414893,2890,"GRIA1","No"
"ENSGALG00000004134",8.76542314079936,2.08562438584594,1.02616010777424,34.8810807523858,4.54424884701979e-06,0.000109955697517753,427637,2741,"GLRA1","No"
"ENSGALG00000004446",10.0672389108938,2.55190670307926,0.812382815058179,34.4254800466673,5.56711104920304e-06,0.000132303676256989,378784,64106,"NPFFR1","No"
"ENSGALG00000004472",897.857260785159,1.72838709714242,0.435719385464558,59.327376014965,6.16459296126426e-11,4.05746912849632e-09,429070,460,"ASTN1","No"
"ENSGALG00000005207",39.3908707035312,2.55864799461221,1.685803730259,31.45482245032,2.0751472566897e-05,0.000423340627850702,423743,79933,"SYNPO2L","No"
"ENSGALG00000005460",624.848476684057,1.65083017675242,0.451012352639986,43.5280228817439,9.16884849785177e-08,3.18796875814437e-06,419231,28231,"SLCO4A1","No"
"ENSGALG00000005662",15.1218693800679,1.61752279009331,1.22692338555669,20.0428194460418,0.0027212096315733,0.0270665589846912,423041,272,"AMPD3","No"
