"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr9",127388090,127389268,1179,"*",8.33,9.18,5.99,3.19,6.34e-63,1.01e-57,"chr9_127388090_127389268"
"chr2",83595734,83597331,1598,"*",7.88,8.82,4.41,4.41,4.75e-62,3.77e-57,"chr2_83595734_83597331"
"chr9",80699292,80700121,830,"*",7.97,8.87,5.02,3.86,9.31e-62,4.93e-57,"chr9_80699292_80700121"
"chr2",134367924,134369376,1453,"*",7.93,8.85,4.69,4.16,1.76e-61,6.99e-57,"chr2_134367924_134369376"
"chr2",230814724,230815684,961,"*",7.84,8.78,4.39,4.38,2.15e-59,6.82e-55,"chr2_230814724_230815684"
"chr16",8552366,8554193,1828,"*",8.23,9.07,5.95,3.13,4.43e-59,1.17e-54,"chr16_8552366_8554193"
"chr14",71550948,71551981,1034,"*",8.2,9.06,5.71,3.35,8.82e-58,2e-53,"chr14_71550948_71551981"
"chr16",50644594,50646885,2292,"*",8.69,9.44,7,2.44,1.61e-56,3.19e-52,"chr16_50644594_50646885"
"chr10",99965795,99967009,1215,"*",7.81,8.71,4.85,3.86,3.12e-55,5.51e-51,"chr10_99965795_99967009"
"chr3",139653717,139655393,1677,"*",7.73,8.63,4.92,3.71,5.86e-52,9.31e-48,"chr3_139653717_139655393"
"chr22",50533471,50534787,1317,"*",8.24,9.04,6.25,2.8,6.73e-52,9.71e-48,"chr22_50533471_50534787"
"chr1",117032192,117033462,1271,"*",7.66,8.56,4.66,3.9,1.49e-50,1.98e-46,"chr1_117032192_117033462"
"chr8",123832114,123833204,1091,"*",7.77,8.65,5.12,3.53,1.93e-50,2.35e-46,"chr8_123832114_123833204"
"chr5",135263169,135263691,523,"*",7.52,8.46,3.86,4.6,6.49e-49,7.36e-45,"chr5_135263169_135263691"
"chr15",29278259,29279155,897,"*",8.15,8.97,6.05,2.92,6.69e-48,6.82e-44,"chr15_29278259_29279155"
"chr1",201136132,201137190,1059,"*",7.98,8.82,5.72,3.09,6.87e-48,6.82e-44,"chr1_201136132_201137190"
"chr5",82356928,82357756,829,"*",7.69,8.56,5.13,3.43,6.82e-47,6.37e-43,"chr5_82356928_82357756"
"chr2",20543423,20544590,1168,"*",7.52,8.43,4.43,4.01,1.87e-46,1.65e-42,"chr2_20543423_20544590"
"chr14",22388961,22389939,979,"*",7.39,8.34,3.57,4.77,4.48e-45,3.74e-41,"chr14_22388961_22389939"
"chr16",50390093,50391436,1344,"*",8.28,9.04,6.58,2.46,9.78e-45,7.76e-41,"chr16_50390093_50391436"
"chr19",47190077,47191153,1077,"*",7.61,8.49,4.97,3.52,1.37e-44,1.03e-40,"chr19_47190077_47191153"
"chr4",182212204,182213232,1029,"*",7.93,8.75,5.89,2.85,5.49e-44,3.96e-40,"chr4_182212204_182213232"
"chr19",38675934,38676870,937,"*",7.55,8.43,4.97,3.46,1.11e-43,7.69e-40,"chr19_38675934_38676870"
"chr1",55827358,55828630,1273,"*",7.73,8.57,5.49,3.08,1.21e-43,7.99e-40,"chr1_55827358_55828630"
"chr20",25309757,25310997,1241,"*",8.34,9.1,6.64,2.46,2.25e-43,1.43e-39,"chr20_25309757_25310997"
"chr15",77829982,77830706,725,"*",7.48,8.37,4.74,3.63,5.02e-43,3.06e-39,"chr15_77829982_77830706"
"chr16",50603286,50604277,992,"*",8.34,9.1,6.66,2.44,6.56e-42,3.86e-38,"chr16_50603286_50604277"
"chr5",56058177,56059584,1408,"*",7.86,8.68,5.76,2.92,1.34e-41,7.37e-38,"chr5_56058177_56059584"
"chr17",65433437,65434653,1217,"*",8.12,8.89,6.36,2.52,1.35e-41,7.37e-38,"chr17_65433437_65434653"
"chr4",108051205,108051997,793,"*",7.3,8.22,4.2,4.02,5.27e-41,2.79e-37,"chr4_108051205_108051997"
"chr10",83649075,83650280,1206,"*",7.36,8.25,4.51,3.75,7.83e-41,4.01e-37,"chr10_83649075_83650280"
"chr5",142235067,142237117,2051,"*",7.69,5.45,8.52,-3.07,1.07e-40,5.32e-37,"chr5_142235067_142237117"
"chr18",11577299,11578218,920,"*",7.23,8.16,3.87,4.28,3.59e-40,1.72e-36,"chr18_11577299_11578218"
"chr12",69925070,69925702,633,"*",7.37,8.3,3.97,4.33,4.93e-40,2.3e-36,"chr12_69925070_69925702"
"chr10",78851309,78852238,930,"*",8.41,9.12,6.93,2.19,1.17e-39,5.31e-36,"chr10_78851309_78852238"
"chr1",232328076,232329039,964,"*",7.2,8.16,3.19,4.97,1.39e-39,6.14e-36,"chr1_232328076_232329039"
"chr9",95724292,95725330,1039,"*",7.22,8.18,3.03,5.15,1.61e-39,6.92e-36,"chr9_95724292_95725330"
"chr4",146333454,146334329,876,"*",7.26,8.19,3.91,4.29,1.9e-39,7.95e-36,"chr4_146333454_146334329"
"chr1",90821216,90822306,1091,"*",7.39,8.27,4.8,3.47,2.1e-39,8.56e-36,"chr1_90821216_90822306"
"chr17",1083503,1084209,707,"*",7.3,8.2,4.44,3.76,2.67e-39,1.06e-35,"chr17_1083503_1084209"
"chr17",44159548,44160250,703,"*",7.22,8.15,3.91,4.23,2.25e-38,8.63e-35,"chr17_44159548_44160250"
"chr5",134989109,134990604,1496,"*",7.48,8.33,5.12,3.21,2.28e-38,8.63e-35,"chr5_134989109_134990604"
"chr8",29736628,29738221,1594,"*",8.97,9.59,7.85,1.75,2.42e-38,8.92e-35,"chr8_29736628_29738221"
"chr10",72319161,72321405,2245,"*",9.56,10.17,8.48,1.69,3.04e-38,1.1e-34,"chr10_72319161_72321405"
"chr5",112217660,112218580,921,"*",7.19,8.1,4.1,4,7.7e-38,2.72e-34,"chr5_112217660_112218580"
"chr5",82396437,82397513,1077,"*",7.67,8.51,5.45,3.06,2.47e-37,8.53e-34,"chr5_82396437_82397513"
"chr7",36207357,36209441,2085,"*",7.81,8.59,5.94,2.65,3.22e-37,1.09e-33,"chr7_36207357_36209441"
"chr5",178630466,178631124,659,"*",7.75,8.57,5.73,2.84,3.4e-37,1.12e-33,"chr5_178630466_178631124"
"chr8",41469082,41469966,885,"*",7.15,8.11,2.9,5.21,5.69e-37,1.84e-33,"chr8_41469082_41469966"
"chr5",76805906,76806959,1054,"*",8.14,8.88,6.52,2.36,1.39e-36,4.42e-33,"chr5_76805906_76806959"
"chr11",44452945,44454269,1325,"*",7.89,5.82,8.7,-2.88,1.45e-36,4.51e-33,"chr11_44452945_44454269"
"chr5",112548025,112549003,979,"*",7.16,8.08,3.95,4.13,1.48e-36,4.52e-33,"chr5_112548025_112549003"
"chr3",115580592,115582208,1617,"*",7.45,8.3,5.12,3.19,2.05e-36,6.13e-33,"chr3_115580592_115582208"
"chr14",23153990,23155692,1703,"*",8.61,9.26,7.38,1.88,2.09e-36,6.13e-33,"chr14_23153990_23155692"
"chr6",44676731,44677569,839,"*",7.12,8.08,2.77,5.32,2.14e-36,6.17e-33,"chr6_44676731_44677569"
"chr9",136571589,136573293,1705,"*",8.91,7.72,9.55,-1.83,1.4e-35,3.96e-32,"chr9_136571589_136573293"
"chr11",126564101,126565116,1016,"*",8.44,9.12,7.15,1.97,4.06e-35,1.13e-31,"chr11_126564101_126565116"
"chr1",201376048,201378133,2086,"*",9.11,7.97,9.74,-1.77,8.91e-35,2.44e-31,"chr1_201376048_201378133"
"chr5",109455293,109456146,854,"*",7.49,8.34,5.08,3.26,9.65e-35,2.6e-31,"chr5_109455293_109456146"
"chr5",177468370,177469832,1463,"*",8.35,6.94,9.05,-2.11,1.29e-34,3.42e-31,"chr5_177468370_177469832"
"chr15",80155528,80156163,636,"*",7.85,8.61,6.16,2.45,1.98e-34,5.15e-31,"chr15_80155528_80156163"
"chr11",110564557,110566016,1460,"*",9.27,9.84,8.28,1.56,2.08e-34,5.33e-31,"chr11_110564557_110566016"
"chr15",47363929,47365424,1496,"*",8.11,8.84,6.55,2.29,2.21e-34,5.56e-31,"chr15_47363929_47365424"
"chr3",4977439,4980663,3225,"*",10.38,10.88,9.61,1.27,2.44e-34,6.04e-31,"chr3_4977439_4980663"
"chr2",158882254,158883097,844,"*",7.17,8.06,4.41,3.65,2.91e-34,7.1e-31,"chr2_158882254_158883097"
"chr17",74024569,74025778,1210,"*",7.85,6,8.64,-2.64,3.82e-34,9.18e-31,"chr17_74024569_74025778"
"chr5",172764931,172765946,1016,"*",8.61,9.26,7.4,1.86,4.65e-34,1.1e-30,"chr5_172764931_172765946"
"chr3",49238502,49239237,736,"*",7.5,8.31,5.46,2.85,8.18e-34,1.91e-30,"chr3_49238502_49239237"
"chr1",53260496,53261186,691,"*",6.93,7.87,3.35,4.52,2.5e-33,5.74e-30,"chr1_53260496_53261186"
"chr13",53284851,53286802,1952,"*",7.2,8.09,4.41,3.69,2.89e-33,6.55e-30,"chr13_53284851_53286802"
"chr13",33258854,33260998,2145,"*",7.2,8.07,4.67,3.39,3.3e-33,7.34e-30,"chr13_33258854_33260998"
"chr8",102896617,102897442,826,"*",7.91,8.65,6.32,2.33,3.33e-33,7.34e-30,"chr8_102896617_102897442"
"chr7",154473859,154474715,857,"*",7.21,8.08,4.59,3.49,4.94e-33,1.07e-29,"chr7_154473859_154474715"
"chr12",4270942,4274280,3339,"*",9.91,10.42,9.13,1.28,5.48e-33,1.18e-29,"chr12_4270942_4274280"
"chr6",24980519,24981820,1302,"*",7.59,5.55,8.41,-2.86,6.22e-33,1.32e-29,"chr6_24980519_24981820"
"chr17",47810027,47810991,965,"*",7.56,8.36,5.59,2.77,8.02e-33,1.67e-29,"chr17_47810027_47810991"
"chr1",203345867,203346815,949,"*",8.02,8.77,6.34,2.43,8.87e-33,1.83e-29,"chr1_203345867_203346815"
"chr19",5090780,5091987,1208,"*",8.61,9.24,7.48,1.76,1.72e-32,3.51e-29,"chr19_5090780_5091987"
"chr1",204454639,204455980,1342,"*",7.45,5.24,8.29,-3.05,2.66e-32,5.35e-29,"chr1_204454639_204455980"
"chr6",87798686,87799359,674,"*",7.54,8.33,5.64,2.69,3.52e-32,6.98e-29,"chr6_87798686_87799359"
"chr22",18055740,18056648,909,"*",7.05,7.95,4.03,3.92,3.97e-32,7.79e-29,"chr22_18055740_18056648"
"chr4",42635924,42637136,1213,"*",7.04,7.93,4.21,3.72,4.62e-32,8.94e-29,"chr4_42635924_42637136"
"chr10",5632638,5634044,1407,"*",7.09,7.97,4.38,3.6,4.76e-32,9.09e-29,"chr10_5632638_5634044"
"chr2",100291061,100292635,1575,"*",9.09,9.66,8.14,1.52,5.04e-32,9.53e-29,"chr2_100291061_100292635"
"chr1",206766180,206767220,1041,"*",7.92,8.66,6.32,2.34,6.8e-32,1.27e-28,"chr1_206766180_206767220"
"chr10",75498174,75499170,997,"*",7.47,8.3,5.3,3,8.79e-32,1.62e-28,"chr10_75498174_75499170"
"chr14",75283275,75284450,1176,"*",7.29,8.12,5.11,3.01,1.24e-31,2.26e-28,"chr14_75283275_75284450"
"chr14",91303066,91304177,1112,"*",8.82,7.7,9.45,-1.75,1.32e-31,2.38e-28,"chr14_91303066_91304177"
"chr1",202229171,202230761,1591,"*",8.81,9.41,7.75,1.66,2.53e-31,4.51e-28,"chr1_202229171_202230761"
"chr9",127318643,127319892,1250,"*",6.99,7.9,3.93,3.97,9.92e-31,1.75e-27,"chr9_127318643_127319892"
"chr5",39400603,39401501,899,"*",6.91,7.82,3.98,3.83,1.21e-30,2.11e-27,"chr5_39400603_39401501"
"chr6",168007344,168008194,851,"*",7.77,8.51,6.18,2.33,1.22e-30,2.11e-27,"chr6_168007344_168008194"
"chr12",105945930,105946961,1032,"*",7.59,8.36,5.84,2.52,1.7e-30,2.9e-27,"chr12_105945930_105946961"
"chr2",240556021,240556835,815,"*",6.98,7.86,4.33,3.53,3.62e-30,6.11e-27,"chr2_240556021_240556835"
"chr18",33201087,33202325,1239,"*",7.5,8.29,5.67,2.62,4.07e-30,6.8e-27,"chr18_33201087_33202325"
"chr5",57382741,57383893,1153,"*",8.23,8.93,6.79,2.15,7.44e-30,1.23e-26,"chr5_57382741_57383893"
"chr10",85851224,85852428,1205,"*",7.1,7.98,4.35,3.64,8.15e-30,1.33e-26,"chr10_85851224_85852428"
"chr17",43530289,43531413,1125,"*",8.64,9.25,7.59,1.66,1.04e-29,1.69e-26,"chr17_43530289_43531413"
"chr7",158834895,158835532,638,"*",6.84,7.78,3.13,4.65,1.15e-29,1.85e-26,"chr7_158834895_158835532"
"chr16",65599736,65600843,1108,"*",7.3,5.11,8.13,-3.03,1.3e-29,2.07e-26,"chr16_65599736_65600843"
"chr16",22264672,22265710,1039,"*",7.24,8.07,5.11,2.95,2.04e-29,3.19e-26,"chr16_22264672_22265710"
"chr9",81001965,81002690,726,"*",6.78,7.7,3.52,4.19,2.05e-29,3.19e-26,"chr9_81001965_81002690"
