seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENTREZID	SYMBOL	GENENAME	PeakID	spearman
1	194559878	194560277	400	*	Promoter	1	194560365	194594269	33905	1	ENSGALG00000000690	ENSGALT00000000973	-88	419084	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	1-194559878-194560277	1
1	194563214	194563613	400	*	Intron (ENSGALT00000000973/ENSGALG00000000690, intron 1 of 15)	1	194560365	194594269	33905	1	ENSGALG00000000690	ENSGALT00000000973	2849	419084	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	1-194563214-194563613	1
1	194564388	194565140	753	*	Intron (ENSGALT00000000973/ENSGALG00000000690, intron 1 of 15)	1	194560365	194594269	33905	1	ENSGALG00000000690	ENSGALT00000000973	4023	419084	GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	1-194564388-194565140	1
1	194691996	194692395	400	*	Distal Intergenic	1	194696838	194697819	982	2	ENSGALG00000049424	ENSGALT00000104001	5424	NA	NA	NA	1-194691996-194692395	1
1	194698428	194698827	400	*	Promoter	1	194696833	194698283	1451	2	ENSGALG00000049424	ENSGALT00000101000	-145	NA	NA	NA	1-194698428-194698827	1
18	4288176	4288575	400	*	Distal Intergenic	18	4293769	4305245	11477	1	ENSGALG00000001862	ENSGALT00000002882	-5194	396168	ST6GALNAC1	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	18-4288176-4288575	1
18	4305282	4305681	400	*	Distal Intergenic	18	4308786	4315058	6273	1	ENSGALG00000001883	ENSGALT00000002918	-3105	396159	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	18-4305282-4305681	1
18	4306417	4306816	400	*	Distal Intergenic	18	4308786	4315058	6273	1	ENSGALG00000001883	ENSGALT00000002918	-1970	396159	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	18-4306417-4306816	1
10	3187196	3187595	400	*	Distal Intergenic	10	3160778	3172796	12019	2	ENSGALG00000002678	ENSGALT00000004220	-14400	425524	CSPG4	chondroitin sulfate proteoglycan 4	10-3187196-3187595	1
10	3193592	3193991	400	*	Distal Intergenic	10	3212741	3290778	78038	1	ENSGALG00000002708	ENSGALT00000004272	-18750	415344	LINGO1	leucine rich repeat and Ig domain containing 1	10-3193592-3193991	1
10	3194333	3194732	400	*	Distal Intergenic	10	3212741	3290778	78038	1	ENSGALG00000002708	ENSGALT00000004272	-18009	415344	LINGO1	leucine rich repeat and Ig domain containing 1	10-3194333-3194732	1
10	3198565	3199271	707	*	Distal Intergenic	10	3212741	3290778	78038	1	ENSGALG00000002708	ENSGALT00000004272	-13470	415344	LINGO1	leucine rich repeat and Ig domain containing 1	10-3198565-3199271	1
10	3222914	3223313	400	*	Intron (ENSGALT00000004272/ENSGALG00000002708, intron 1 of 3)	10	3212741	3290778	78038	1	ENSGALG00000002708	ENSGALT00000004272	10173	415344	LINGO1	leucine rich repeat and Ig domain containing 1	10-3222914-3223313	1
10	3247976	3248375	400	*	Intron (ENSGALT00000004272/ENSGALG00000002708, intron 2 of 3)	10	3212741	3290778	78038	1	ENSGALG00000002708	ENSGALT00000004272	35235	415344	LINGO1	leucine rich repeat and Ig domain containing 1	10-3247976-3248375	1
10	3274902	3275301	400	*	Intron (ENSGALT00000004272/ENSGALG00000002708, intron 3 of 3)	10	3212741	3290778	78038	1	ENSGALG00000002708	ENSGALT00000004272	62161	415344	LINGO1	leucine rich repeat and Ig domain containing 1	10-3274902-3275301	1
7	2335539	2335938	400	*	Distal Intergenic	7	2337402	2352802	15401	1	ENSGALG00000002763	ENSGALT00000004363	-1464	395545	FRZB	frizzled related protein	7-2335539-2335938	1
7	2357812	2358211	400	*	Distal Intergenic	7	2364804	2381585	16782	1	ENSGALG00000048355	ENSGALT00000097710	-6593	NA	NA	NA	7-2357812-2358211	1
7	2363226	2363625	400	*	Distal Intergenic	7	2364804	2381585	16782	1	ENSGALG00000048355	ENSGALT00000097710	-1179	NA	NA	NA	7-2363226-2363625	1
7	2394302	2394701	400	*	Distal Intergenic	7	2364825	2381585	16761	1	ENSGALG00000048355	ENSGALT00000093667	29477	NA	NA	NA	7-2394302-2394701	1
7	2404407	2404806	400	*	Distal Intergenic	7	2364825	2381585	16761	1	ENSGALG00000048355	ENSGALT00000093667	39582	NA	NA	NA	7-2404407-2404806	1
7	2468361	2468760	400	*	Distal Intergenic	7	2471804	2577360	105557	1	ENSGALG00000002789	ENSGALT00000004407	-3044	424001	MAP2	microtubule associated protein 2	7-2468361-2468760	1
7	2471520	2471919	400	*	Promoter	7	2471804	2577360	105557	1	ENSGALG00000002789	ENSGALT00000004407	0	424001	MAP2	microtubule associated protein 2	7-2471520-2471919	1
