"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr10",103720337,103721386,1050,"*",7.7,4.72,8.6,-3.88,1.39e-52,3.04e-47,"chr10_103720337_103721386"
"chr17",75552901,75553432,532,"*",7.95,5.61,8.8,-3.19,1.3e-49,1.42e-44,"chr17_75552901_75553432"
"chr11",44453201,44454279,1079,"*",7.56,3.47,8.51,-5.05,6.94e-48,5.05e-43,"chr11_44453201_44454279"
"chr8",20234494,20235110,617,"*",8.46,9.22,6.76,2.46,1.99e-46,1.09e-41,"chr8_20234494_20235110"
"chr4",182240321,182240863,543,"*",7.7,5.08,8.57,-3.49,8.72e-46,3.8e-41,"chr4_182240321_182240863"
"chr10",114349575,114350550,976,"*",7.37,3.7,8.31,-4.61,2.61e-44,9.48e-40,"chr10_114349575_114350550"
"chr2",120935590,120936173,584,"*",7.32,3.96,8.24,-4.28,1.02e-43,3.18e-39,"chr2_120935590_120936173"
"chr2",173831523,173832146,624,"*",7.32,4.15,8.24,-4.09,2.09e-43,5.69e-39,"chr2_173831523_173832146"
"chr10",78316507,78317219,713,"*",7.58,2.85,8.55,-5.7,6.34e-43,1.54e-38,"chr10_78316507_78317219"
"chr9",134661939,134662574,636,"*",7.45,3.35,8.4,-5.05,1.14e-42,2.49e-38,"chr9_134661939_134662574"
"chr19",8028851,8029455,605,"*",8.58,7.09,9.3,-2.21,2.94e-42,5.82e-38,"chr19_8028851_8029455"
"chr7",151428435,151429027,593,"*",7.51,4.76,8.4,-3.64,3.77e-42,6.84e-38,"chr7_151428435_151429027"
"chr1",94101277,94101952,676,"*",7.51,4.66,8.4,-3.74,8.04e-42,1.35e-37,"chr1_94101277_94101952"
"chr15",70154287,70155055,769,"*",8.2,6.2,9.01,-2.81,1.39e-41,2.16e-37,"chr15_70154287_70155055"
"chr17",74647969,74648465,497,"*",7.36,3.29,8.32,-5.03,3.02e-41,4.39e-37,"chr17_74647969_74648465"
"chr17",44599461,44599997,537,"*",8.32,6.62,9.08,-2.46,6.19e-41,8.44e-37,"chr17_44599461_44599997"
"chr17",10127390,10128257,868,"*",7.48,4.65,8.38,-3.73,7.56e-41,9.7e-37,"chr17_10127390_10128257"
"chr4",52824818,52825751,934,"*",7.81,5.64,8.64,-3,1.22e-40,1.48e-36,"chr4_52824818_52825751"
"chr8",42720286,42721133,848,"*",7.66,5.13,8.53,-3.39,6.9e-40,7.92e-36,"chr8_42720286_42721133"
"chr17",31571292,31571851,560,"*",7.32,3.36,8.27,-4.91,9.97e-40,1.09e-35,"chr17_31571292_31571851"
"chr8",23335931,23336479,549,"*",7.88,6,8.67,-2.67,1.2e-39,1.25e-35,"chr8_23335931_23336479"
"chr18",6557186,6557919,734,"*",7.99,6.16,8.77,-2.61,2.25e-39,2.24e-35,"chr18_6557186_6557919"
"chr17",48513689,48514459,771,"*",7.66,5.54,8.48,-2.95,3.38e-39,3.21e-35,"chr17_48513689_48514459"
"chr20",33789422,33789937,516,"*",7.21,3.57,8.15,-4.59,6.7e-39,6.09e-35,"chr20_33789422_33789937"
"chr8",48643326,48643949,624,"*",7.24,3.68,8.17,-4.5,7.42e-39,6.47e-35,"chr8_48643326_48643949"
"chr10",47039120,47039773,654,"*",7.16,3.98,8.08,-4.1,1.54e-38,1.3e-34,"chr10_47039120_47039773"
"chr8",74270732,74271584,853,"*",7.11,3.06,8.06,-5,2.04e-38,1.65e-34,"chr8_74270732_74271584"
"chr11",69905475,69906242,768,"*",7.14,3.98,8.05,-4.08,2.58e-38,2.01e-34,"chr11_69905475_69906242"
