"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr12",98912104,98912652,549,"*",8.07,9.05,3.11,5.94,1.08e-69,2.35e-64,"chr12_98912104_98912652"
"chr1",27589779,27590470,692,"*",7.9,8.85,3.98,4.86,5.8e-63,5.19e-58,"chr1_27589779_27590470"
"chr14",31991870,31992412,543,"*",8.02,8.93,4.96,3.97,7.14e-63,5.19e-58,"chr14_31991870_31992412"
"chr6",116447583,116448002,420,"*",7.77,8.73,3.44,5.3,2e-62,1.09e-57,"chr6_116447583_116448002"
"chr19",51726066,51726758,693,"*",7.9,8.84,4.33,4.52,3.33e-61,1.45e-56,"chr19_51726066_51726758"
"chr17",81419161,81419826,666,"*",8.49,9.33,6.2,3.13,2.42e-57,8.79e-53,"chr17_81419161_81419826"
"chr6",56025883,56026426,544,"*",7.73,8.66,4.16,4.5,3.07e-57,9.55e-53,"chr6_56025883_56026426"
"chr5",144125168,144125814,647,"*",7.86,8.79,4.46,4.32,8.45e-56,2.3e-51,"chr5_144125168_144125814"
"chr1",53183096,53183582,487,"*",7.62,8.56,3.93,4.63,4.41e-55,1.07e-50,"chr1_53183096_53183582"
"chr2",24493939,24494350,412,"*",7.79,8.69,4.9,3.79,5.23e-53,1.14e-48,"chr2_24493939_24494350"
"chr4",109046629,109047095,467,"*",7.61,8.57,3.51,5.06,3.06e-52,6.07e-48,"chr4_109046629_109047095"
"chr7",37095102,37095732,631,"*",7.46,8.41,3.5,4.92,3.1e-51,5.63e-47,"chr7_37095102_37095732"
"chr8",274273,274750,478,"*",7.81,8.7,5.1,3.6,6.21e-51,1.04e-46,"chr8_274273_274750"
"chr1",204296324,204297045,722,"*",8.7,9.51,6.68,2.83,1.43e-50,2.22e-46,"chr1_204296324_204297045"
"chr6",149209865,149210977,1113,"*",7.69,8.6,4.64,3.96,5.27e-50,7.66e-46,"chr6_149209865_149210977"
"chr10",76050943,76051490,548,"*",7.8,3.67,8.76,-5.08,3.51e-49,4.78e-45,"chr10_76050943_76051490"
"chr15",67048840,67049996,1157,"*",8.52,9.32,6.58,2.74,1.05e-48,1.35e-44,"chr15_67048840_67049996"
"chr15",55267310,55267889,580,"*",7.9,8.79,5.16,3.63,1.86e-48,2.26e-44,"chr15_55267310_55267889"
"chr7",158432026,158433506,1481,"*",7.72,8.61,4.92,3.7,2.34e-48,2.69e-44,"chr7_158432026_158433506"
"chr10",52526210,52526855,646,"*",7.4,8.37,2.88,5.49,2.55e-48,2.78e-44,"chr10_52526210_52526855"
"chr2",66839955,66840470,516,"*",7.44,8.41,3.01,5.4,4.69e-48,4.87e-44,"chr2_66839955_66840470"
"chr1",26409411,26410633,1223,"*",8.02,5.04,8.92,-3.88,5.28e-48,5.23e-44,"chr1_26409411_26410633"
"chr11",102223936,102224418,483,"*",7.6,8.58,2.12,6.46,6.77e-48,6.42e-44,"chr11_102223936_102224418"
