"Chick_ENSEMBL","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000000003",56666,"PANX2","PANX2",426934,"No"
"ENSGALG00000000011",80007,"C10orf88","NULL",NA,"No"
"ENSGALG00000000038",1504,"CTRB1","CTRB2",431235,"No"
"ENSGALG00000000038",440387,"CTRB2","CTRB2",431235,"No"
"ENSGALG00000000044",117166,"WFIKKN1","NULL",NA,"No"
"ENSGALG00000000048",NA,NA,"NA",NA,"No"
"ENSGALG00000000055",8649,"LAMTOR3","LAMTOR3",425210,"No"
"ENSGALG00000000059",10381,"TUBB3","TUBB3",431043,"No"
"ENSGALG00000000059",NA,"AC092143.1","TUBB3",431043,"No"
"ENSGALG00000000067",6697,"SPR","SPR",425255,"No"
"ENSGALG00000000071",NA,NA,"NA",NA,"No"
"ENSGALG00000000081",NA,NA,"NA",NA,"No"
"ENSGALG00000000086",10440,"TIMM17A","TIMM17B",421147,"No"
"ENSGALG00000000091",92105,"INTS4","INTS4",419028,"No"
"ENSGALG00000000094",51094,"ADIPOR1","ADIPOR1",421148,"No"
"ENSGALG00000000102",29089,"UBE2T","UBE2T",421149,"No"
"ENSGALG00000000104",NA,NA,"NA",NA,"No"
"ENSGALG00000000106",55791,"LRIF1","LRIF1",421150,"No"
"ENSGALG00000000107",NA,NA,"NA",NA,"No"
"ENSGALG00000000109",125061,"AFMID","AFMID",769005,"No"
"ENSGALG00000000112",5354,"PLP1","PLP1",396214,"No"
"ENSGALG00000000115",57152,"SLURP1","HEP21",395192,"No"
"ENSGALG00000000120",27302,"BMP10","BMP10",395177,"No"
"ENSGALG00000000122",10399,"RACK1","RACK1",417044,"No"
"ENSGALG00000000129",22980,"TCF25","TCF25",425450,"Transcription Factor"
"ENSGALG00000000136",NA,NA,"NA",NA,"No"
"ENSGALG00000000137",6635,"SNRPE","SNRPE",396180,"No"
"ENSGALG00000000141",NA,NA,"NA",NA,"No"
"ENSGALG00000000142",10390,"CEPT1","CEPT1",421152,"No"
"ENSGALG00000000146",6830,"SUPT6H","SUPT6H",425418,"No"
"ENSGALG00000000150",6133,"RPL9","RPL9",425468,"No"
"ENSGALG00000000151",171019,"ADAMTS19","ADAMTS19",415600,"No"
"ENSGALG00000000154",79961,"DENND2D","DENND2D",421153,"No"
"ENSGALG00000000156",6046,"BRD2","BRD2",417049,"No"
"ENSGALG00000000158",3108,"HLA-DMA","DMA",417050,"No"
"ENSGALG00000000161",51015,"ISOC1","ISOC1",415601,"No"
"ENSGALG00000000162",3109,"HLA-DMB","DMB1",106182184,"No"
"ENSGALG00000000162",NA,"AL645941.2","DMB1",106182184,"No"
"ENSGALG00000000164",4608,"MYBPH","MYBPHL",421154,"No"
"ENSGALG00000000168",134,"ADORA1","ADORA1",374212,"No"
"ENSGALG00000000172",4656,"MYOG","MYOG",374004,"Transcription Factor"
"ENSGALG00000000184",28965,"SLC27A6","SLC27A6",769933,"No"
"ENSGALG00000000186",23787,"MTCH1","MTCH1",425491,"No"
"ENSGALG00000000189",64848,"YTHDC2","YTHDC2",415602,"No"
"ENSGALG00000000195",9962,"SLC23A2","SLC23A2",419520,"No"
"ENSGALG00000000201",9842,"PLEKHM1","PLEKHM1",419939,"No"
"ENSGALG00000000208",4163,"MCC","MCC",415603,"No"
"ENSGALG00000000209",5621,"PRNP","PRNP",396452,"No"
"ENSGALG00000000215",167227,"DCP2","DCP2",769972,"No"
"ENSGALG00000000217",8497,"PPFIA4","PPFIA4",421155,"No"
"ENSGALG00000000218",6728,"SRP19","SRP19",770061,"No"
"ENSGALG00000000220",324,"APC","APC",415607,"No"
"ENSGALG00000000220",NA,"AC008575.1","APC",415607,"No"
"ENSGALG00000000223",92703,"TMEM183A","TMEM183A",421156,"No"
"ENSGALG00000000225",NA,NA,"NA",NA,"No"
"ENSGALG00000000226",252839,"TMEM9","TMEM9",421157,"No"
"ENSGALG00000000227",1808,"DPYSL2","DPYSL2",395155,"No"
"ENSGALG00000000233",6668,"SP2","SP2",425673,"Transcription Factor"
"ENSGALG00000000234",64097,"EPB41L4A","EPB41L4A",415608,"No"
"ENSGALG00000000235",5520,"PPP2R2A","PPP2R2A",419523,"No"
"ENSGALG00000000241",134429,"STARD4","STARD4",769322,"No"
"ENSGALG00000000242",64641,"EBF2","EBF2",395176,"Transcription Factor"
"ENSGALG00000000243",201299,"RDM1","RDM1",395228,"No"
"ENSGALG00000000244",814,"CAMK4","CAMK4",723973,"No"
"ENSGALG00000000247",134430,"WDR36","WDR36",415609,"No"
"ENSGALG00000000249",1443,"CSH2","GH",378781,"No"
"ENSGALG00000000249",1444,"CSHL1","GH",378781,"No"
"ENSGALG00000000249",1442,"CSH1","GH",378781,"No"
"ENSGALG00000000249",2689,"GH2","GH",378781,"No"
"ENSGALG00000000249",2688,"GH1","GH",378781,"No"
"ENSGALG00000000249",NA,"AC127029.3","GH",378781,"No"
"ENSGALG00000000251",974,"CD79B","CD79B",419940,"No"
"ENSGALG00000000253",91137,"SLC25A46","SLC25A46",415610,"No"
"ENSGALG00000000255",4124,"MAN2A1","MAN2A1",415611,"No"
"ENSGALG00000000259",9491,"PSMF1","PSMF1",430115,"No"
"ENSGALG00000000264",64219,"PJA1","PJA2",415612,"No"
"ENSGALG00000000264",9867,"PJA2","PJA2",415612,"No"
"ENSGALG00000000273",2241,"FER","FER",415614,"No"
"ENSGALG00000000274",NA,NA,"NA",NA,"No"
"ENSGALG00000000275",54793,"KCTD9","KCTD9",419526,"No"
"ENSGALG00000000276",64839,"FBXL17","FBXL17",415615,"No"
"ENSGALG00000000277",2796,"GNRH1","GNRH1",770134,"No"
"ENSGALG00000000280",1946,"EFNA5","EFNA5",396100,"No"
"ENSGALG00000000284",3214,"HOXB4","HOXB4",396230,"Transcription Factor"
"ENSGALG00000000293",5858,"PZP","A2ML4",100858010,"No"
"ENSGALG00000000295",91156,"IGFN1","IGFN1",771410,"No"
"ENSGALG00000000296",22990,"PCNX1","PCNX1",426230,"No"
"ENSGALG00000000299",5317,"PKP1","PKP1",421158,"No"
"ENSGALG00000000302",7139,"TNNT2","TNNT2",396433,"No"
"ENSGALG00000000309",NA,NA,"NA",NA,"No"
"ENSGALG00000000311",80005,"DOCK5","DOCK5",419527,"No"
"ENSGALG00000000313",7135,"TNNI1","TNNI1",421161,"No"
"ENSGALG00000000314",4747,"NEFL","NULL",NA,"No"
"ENSGALG00000000317",NA,NA,"NA",NA,"No"
"ENSGALG00000000318",1465,"CSRP1","CSRP1",396176,"No"
"ENSGALG00000000329",10768,"AHCYL1","AHCYL1",419803,"No"
"ENSGALG00000000336",4660,"PPP1R12B","NULL",NA,"No"
"ENSGALG00000000337",404217,"CTXN1","NULL",NA,"No"
"ENSGALG00000000341",NA,NA,"NA",NA,"No"
"ENSGALG00000000349",5705,"PSMC5","PSMC5",428274,"No"
"ENSGALG00000000352",10469,"TIMM44","TIMM44",420053,"No"
"ENSGALG00000000357",10863,"ADAM28","ADAMDEC1",419529,"No"
"ENSGALG00000000364",6781,"STC1","STC1",428201,"No"
"ENSGALG00000000365",NA,NA,"NA",396037,"Transcription Factor"
"ENSGALG00000000367",40,"ASIC2","ASIC2",419945,"No"
"ENSGALG00000000371",1394,"LINC02210-CRHR1","CRHR1",374218,"No"
"ENSGALG00000000371",104909134,"CRHR1","CRHR1",374218,"No"
"ENSGALG00000000371",104909134,"LINC02210-CRHR1","CRHR1",374218,"No"
"ENSGALG00000000371",1394,"CRHR1","CRHR1",374218,"No"
"ENSGALG00000000374",6051,"RNPEP","RNPEP",421165,"No"
"ENSGALG00000000377",4670,"HNRNPM","HNRNPM",420054,"No"
"ENSGALG00000000378",51312,"SLC25A37","SLC25A37",419530,"No"
"ENSGALG00000000379",3690,"ITGB3","ITGB3",374209,"No"
"ENSGALG00000000379",NA,"AC068234.1","ITGB3",374209,"No"
"ENSGALG00000000390",9583,"ENTPD4","ENTPD4",419531,"No"
"ENSGALG00000000394",388662,"SLC6A17","SLC6A17",419805,"No"
"ENSGALG00000000396",339175,"METTL2A","METTL2B",419948,"No"
"ENSGALG00000000396",55798,"METTL2B","METTL2B",419948,"No"
"ENSGALG00000000397",55705,"IPO9","IPO9",421167,"No"
"ENSGALG00000000399",285193,"DUSP28","DUSP28",430912,"No"
