"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr2",237296847,237299250,2404,"*",9.03,4.1,10,-5.9,5.36e-136,9.03e-131,"chr2_237296847_237299250"
"chr17",50208796,50211238,2443,"*",9.76,7.87,10.56,-2.69,5.29e-132,4.46e-127,"chr17_50208796_50211238"
"chr2",100291061,100292635,1575,"*",8.74,5.53,9.66,-4.13,1.77e-123,9.93e-119,"chr2_100291061_100292635"
"chr19",5903517,5905185,1669,"*",10.8,9.66,11.43,-1.76,1.7e-118,7.15e-114,"chr19_5903517_5905185"
"chr19",51687893,51691330,3438,"*",10.21,8.79,10.91,-2.12,8.66e-116,2.92e-111,"chr19_51687893_51691330"
"chr10",71234298,71236662,2365,"*",8.65,5.7,9.56,-3.86,7.06e-112,1.98e-107,"chr10_71234298_71236662"
"chr14",49999259,50001762,2504,"*",9.2,7.18,10.01,-2.83,1.2e-111,2.9e-107,"chr14_49999259_50001762"
"chr11",86172833,86175084,2252,"*",8.55,4.49,9.51,-5.02,1.41e-111,2.97e-107,"chr11_86172833_86175084"
"chr7",6077125,6077783,659,"*",8.53,4.61,9.48,-4.87,4.8e-109,9e-105,"chr7_6077125_6077783"
"chr16",84952116,84953296,1181,"*",8.87,6.34,9.74,-3.4,9.31e-109,1.57e-104,"chr16_84952116_84953296"
"chr9",106920966,106922260,1295,"*",8.54,5.17,9.47,-4.3,1.22e-108,1.87e-104,"chr9_106920966_106922260"
"chr17",44599192,44600304,1113,"*",8.86,6.43,9.72,-3.29,8.1e-106,1.14e-101,"chr17_44599192_44600304"
"chr6",114010746,114012009,1264,"*",8.49,4.69,9.44,-4.75,1.45e-105,1.88e-101,"chr6_114010746_114012009"
"chr17",57517298,57519721,2424,"*",8.64,5.93,9.53,-3.6,2.71e-104,3.26e-100,"chr17_57517298_57519721"
"chr16",30657709,30659570,1862,"*",10.46,9.33,11.09,-1.76,4.11e-103,4.62e-99,"chr16_30657709_30659570"
"chr15",64806923,64809258,2336,"*",8.86,9.75,6.09,3.66,8.07e-103,8.5e-99,"chr15_64806923_64809258"
"chr1",203363964,203365194,1231,"*",8.46,4.1,9.42,-5.33,9.82e-103,9.73e-99,"chr1_203363964_203365194"
"chr1",29156583,29157538,956,"*",8.46,4.24,9.42,-5.18,3.69e-102,3.45e-98,"chr1_29156583_29157538"
"chr17",48971148,48973016,1869,"*",9.06,6.81,9.9,-3.1,2.72e-101,2.41e-97,"chr17_48971148_48973016"
"chr7",158818357,158819246,890,"*",8.75,6.35,9.61,-3.25,5.12e-101,4.32e-97,"chr7_158818357_158819246"
"chr15",58331755,58332918,1164,"*",8.85,6.6,9.69,-3.09,6.37e-101,5.11e-97,"chr15_58331755_58332918"
"chr7",98329168,98330314,1147,"*",8.39,4.69,9.33,-4.64,1.04e-100,7.94e-97,"chr7_98329168_98330314"
"chr8",29736628,29738221,1594,"*",8.74,6.32,9.59,-3.27,5.28e-100,3.87e-96,"chr8_29736628_29738221"
"chr18",6556961,6558223,1263,"*",8.59,5.97,9.47,-3.5,6.65e-99,4.67e-95,"chr18_6556961_6558223"
