"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr7",131619822,131621073,1252,"*",9.06,5.92,9.98,-4.06,2.91e-117,6.78e-112,"chr7_131619822_131621073"
"chr10",78359476,78360275,800,"*",8.75,4.63,9.71,-5.08,7.57e-116,8.83e-111,"chr10_78359476_78360275"
"chr2",73089471,73090053,583,"*",8.48,3.79,9.45,-5.66,7.69e-107,5.98e-102,"chr2_73089471_73090053"
"chr2",100291151,100292502,1352,"*",8.52,5.09,9.45,-4.36,3.89e-105,2.26e-100,"chr2_100291151_100292502"
"chr8",42720286,42721133,848,"*",8.38,3.87,9.35,-5.48,1.12e-103,5.21e-99,"chr8_42720286_42721133"
"chr17",50209872,50210634,763,"*",8.9,6.44,9.76,-3.32,1.95e-95,7.59e-91,"chr17_50209872_50210634"
"chr2",15169510,15170588,1079,"*",8.55,5.57,9.45,-3.89,6.02e-94,2e-89,"chr2_15169510_15170588"
"chr17",81419161,81419826,666,"*",8.4,5.06,9.33,-4.27,9.34e-93,2.72e-88,"chr17_81419161_81419826"
"chr8",22178754,22179260,507,"*",8.64,5.12,9.58,-4.46,3.33e-91,8.63e-87,"chr8_22178754_22179260"
"chr15",67048840,67049996,1157,"*",8.34,3.01,9.32,-6.31,4.44e-91,1.04e-86,"chr15_67048840_67049996"
"chr10",3094552,3095804,1253,"*",8.24,3.39,9.22,-5.83,3.36e-90,7.12e-86,"chr10_3094552_3095804"
"chr12",6613493,6614341,849,"*",9.51,7.41,10.33,-2.92,2.16e-87,4.19e-83,"chr12_6613493_6614341"
"chr8",92627754,92628296,543,"*",8.09,3.41,9.06,-5.66,7.69e-85,1.38e-80,"chr8_92627754_92628296"
"chr15",35306089,35306876,788,"*",8.07,4.39,9.01,-4.62,9.58e-85,1.6e-80,"chr15_35306089_35306876"
"chr15",73940820,73941954,1135,"*",8.1,4.26,9.05,-4.79,3.71e-84,5.76e-80,"chr15_73940820_73941954"
"chr9",125473041,125473806,766,"*",8.26,5.13,9.18,-4.04,4.95e-84,7.21e-80,"chr9_125473041_125473806"
"chr21",37153718,37154353,636,"*",8.09,3.31,9.06,-5.76,5.6e-84,7.68e-80,"chr21_37153718_37154353"
"chr11",1437523,1438105,583,"*",8.1,4.06,9.06,-5,3.63e-83,4.7e-79,"chr11_1437523_1438105"
"chr3",52507182,52507772,591,"*",8.24,3.22,9.21,-5.99,7.74e-83,9.5e-79,"chr3_52507182_52507772"
"chr4",98779820,98780603,784,"*",8.11,2.99,9.09,-6.1,1.25e-81,1.45e-77,"chr4_98779820_98780603"
"chr4",106048473,106048997,525,"*",8.2,2.81,9.19,-6.38,2.8e-81,3.11e-77,"chr4_106048473_106048997"
"chr17",10127390,10128257,868,"*",8.24,5.31,9.15,-3.83,8.15e-81,8.64e-77,"chr17_10127390_10128257"
"chr13",79750114,79750701,588,"*",8.07,4.64,9,-4.36,3.43e-80,3.47e-76,"chr13_79750114_79750701"
"chr3",541181,541764,584,"*",7.99,4,8.95,-4.94,8.39e-80,8.15e-76,"chr3_541181_541764"
"chr19",47718921,47719542,622,"*",8.18,4.37,9.13,-4.76,1.45e-79,1.35e-75,"chr19_47718921_47719542"
"chr9",116234003,116234627,625,"*",8,3.91,8.96,-5.05,3.78e-79,3.39e-75,"chr9_116234003_116234627"
"chr19",51688973,51689831,859,"*",8.87,6.71,9.7,-2.99,7.1e-79,6.13e-75,"chr19_51688973_51689831"
"chr20",50724772,50725340,569,"*",8.12,4.76,9.05,-4.29,3.76e-77,3.13e-73,"chr20_50724772_50725340"
"chr22",34914854,34915396,543,"*",7.97,3.18,8.95,-5.77,8.22e-77,6.61e-73,"chr22_34914854_34915396"
"chr2",43041778,43042453,676,"*",8.65,6.19,9.51,-3.33,1.2e-75,9.31e-72,"chr2_43041778_43042453"
"chr1",151988432,151989231,800,"*",7.94,4.49,8.88,-4.39,1.82e-74,1.37e-70,"chr1_151988432_151989231"
"chr1",245654543,245655169,627,"*",8.13,4.3,9.08,-4.77,2.09e-74,1.52e-70,"chr1_245654543_245655169"
"chr9",136796740,136797326,587,"*",8.06,4.46,9,-4.54,4.46e-74,3.15e-70,"chr9_136796740_136797326"
"chr4",68963036,68963755,720,"*",7.84,4.06,8.79,-4.73,8.15e-74,5.59e-70,"chr4_68963036_68963755"
"chr7",5691673,5692817,1145,"*",7.83,3.65,8.79,-5.14,1.14e-73,7.57e-70,"chr7_5691673_5692817"
"chr10",121096880,121097565,686,"*",7.93,2.91,8.91,-6,1.62e-73,1.05e-69,"chr10_121096880_121097565"
"chr1",9371388,9371933,546,"*",7.96,4.56,8.89,-4.33,3.13e-73,1.97e-69,"chr1_9371388_9371933"
"chr5",149422593,149423694,1102,"*",8.43,5.86,9.3,-3.45,3.74e-73,2.29e-69,"chr5_149422593_149423694"
"chr17",74647969,74648465,497,"*",8.11,2.53,9.1,-6.56,6.64e-73,3.97e-69,"chr17_74647969_74648465"
"chr1",233406389,233406972,584,"*",8.09,2.49,9.07,-6.58,1.63e-72,9.48e-69,"chr1_233406389_233406972"
"chr5",132265372,132266176,805,"*",8.05,4.47,8.99,-4.52,5.74e-72,3.27e-68,"chr5_132265372_132266176"
"chr1",204296324,204297045,722,"*",8.67,6.36,9.51,-3.15,1.43e-71,7.93e-68,"chr1_204296324_204297045"
"chr1",204624314,204625179,866,"*",8.4,5.39,9.31,-3.91,1.56e-71,8.44e-68,"chr1_204624314_204625179"
"chr8",133197468,133198054,587,"*",7.97,4.77,8.89,-4.12,2.63e-71,1.39e-67,"chr8_133197468_133198054"
"chr14",53998985,53999487,503,"*",7.96,4.03,8.92,-4.89,2.02e-70,1.04e-66,"chr14_53998985_53999487"
"chr6",53765291,53765764,474,"*",8.07,2.44,9.06,-6.62,4.5e-70,2.28e-66,"chr6_53765291_53765764"
"chr1",26771483,26772290,808,"*",7.79,4.06,8.74,-4.67,5.89e-70,2.92e-66,"chr1_26771483_26772290"
"chr2",188517931,188518427,497,"*",7.74,3.19,8.71,-5.52,9.14e-70,4.44e-66,"chr2_188517931_188518427"
"chr15",75180627,75181212,586,"*",7.73,3.8,8.68,-4.88,4.68e-69,2.23e-65,"chr15_75180627_75181212"
"chr2",24493939,24494350,412,"*",7.73,3.33,8.69,-5.36,5.09e-69,2.37e-65,"chr2_24493939_24494350"
"chr6",116447583,116448002,420,"*",7.76,3.23,8.73,-5.5,6.68e-69,3.05e-65,"chr6_116447583_116448002"
"chr11",61762433,61763267,835,"*",7.86,3.8,8.82,-5.02,1.2e-68,5.38e-65,"chr11_61762433_61763267"
"chr4",8472707,8473296,590,"*",7.7,3.29,8.67,-5.38,2.19e-68,9.63e-65,"chr4_8472707_8473296"
"chr11",72561535,72562230,696,"*",7.9,2.68,8.88,-6.2,5.21e-68,2.25e-64,"chr11_72561535_72562230"
"chr12",89947617,89948494,878,"*",7.88,4.65,8.8,-4.15,1.39e-67,5.88e-64,"chr12_89947617_89948494"
"chr10",71766706,71767505,800,"*",7.81,2.65,8.78,-6.13,2.23e-67,9.26e-64,"chr10_71766706_71767505"
"chr11",19931083,19931619,537,"*",7.77,3.67,8.72,-5.06,2.76e-67,1.13e-63,"chr11_19931083_19931619"
"chr7",158432026,158433506,1481,"*",7.66,3.54,8.61,-5.07,3.88e-67,1.56e-63,"chr7_158432026_158433506"
"chr5",150377521,150378507,987,"*",7.71,3.98,8.65,-4.67,5.99e-67,2.37e-63,"chr5_150377521_150378507"
"chr5",144125168,144125814,647,"*",7.87,4.69,8.79,-4.1,9.34e-67,3.63e-63,"chr5_144125168_144125814"
"chr7",98329375,98330107,733,"*",7.68,3.99,8.62,-4.63,1.01e-66,3.84e-63,"chr7_98329375_98330107"
"chr5",132387445,132388325,881,"*",7.71,4.17,8.65,-4.48,1.76e-66,6.63e-63,"chr5_132387445_132388325"
"chr1",55428908,55429577,670,"*",7.73,4.24,8.67,-4.43,2.52e-66,9.34e-63,"chr1_55428908_55429577"
"chr17",10114786,10115571,786,"*",7.68,3.73,8.63,-4.91,2.59e-66,9.42e-63,"chr17_10114786_10115571"
"chr3",122974948,122975825,878,"*",8.22,5.75,9.08,-3.33,2.94e-66,1.06e-62,"chr3_122974948_122975825"
"chr7",100583174,100583658,485,"*",7.87,4.47,8.8,-4.33,6.52e-66,2.3e-62,"chr7_100583174_100583658"
"chr14",31991870,31992412,543,"*",7.94,2.3,8.93,-6.63,7.05e-66,2.45e-62,"chr14_31991870_31992412"
"chr11",61754266,61755086,821,"*",7.9,4.77,8.82,-4.04,2.32e-65,7.97e-62,"chr11_61754266_61755086"
"chr20",62485052,62485633,582,"*",8.04,4.78,8.96,-4.18,2.59e-65,8.74e-62,"chr20_62485052_62485633"
"chr18",23779679,23780318,640,"*",7.99,5.21,8.88,-3.67,4.86e-65,1.62e-61,"chr18_23779679_23780318"
"chr10",114349575,114350550,976,"*",7.69,3.06,8.66,-5.6,6.53e-65,2.14e-61,"chr10_114349575_114350550"
"chr19",13055426,13056095,670,"*",8.63,6.62,9.43,-2.82,8.02e-65,2.6e-61,"chr19_13055426_13056095"
"chr18",37299175,37299920,746,"*",7.8,4.26,8.74,-4.48,9.12e-65,2.91e-61,"chr18_37299175_37299920"
"chr12",83763290,83763967,678,"*",7.64,2.95,8.61,-5.66,1.18e-64,3.72e-61,"chr12_83763290_83763967"
"chr14",64758166,64759068,903,"*",8.23,5.83,9.08,-3.25,1.87e-64,5.82e-61,"chr14_64758166_64759068"
"chr7",30911507,30911986,480,"*",7.69,4.06,8.63,-4.57,2.46e-64,7.55e-61,"chr7_30911507_30911986"
"chr20",50321206,50321862,657,"*",8.81,6.87,9.6,-2.74,4.59e-64,1.39e-60,"chr20_50321206_50321862"
"chr9",70419482,70420668,1187,"*",9.25,7.6,10,-2.4,5.44e-64,1.63e-60,"chr9_70419482_70420668"
"chr1",208141784,208142473,690,"*",7.78,2.98,8.75,-5.77,1.4e-63,4.09e-60,"chr1_208141784_208142473"
"chr5",114657366,114658721,1356,"*",7.83,4.81,8.74,-3.93,1.4e-63,4.09e-60,"chr5_114657366_114658721"
"chr19",44741829,44742366,538,"*",7.89,4.21,8.84,-4.62,1.53e-63,4.4e-60,"chr19_44741829_44742366"
"chr20",19993078,19993876,799,"*",7.98,5.28,8.86,-3.58,2.67e-63,7.6e-60,"chr20_19993078_19993876"
"chr1",43048906,43049979,1074,"*",7.64,3.3,8.6,-5.31,3.26e-63,9.17e-60,"chr1_43048906_43049979"
"chr17",48503422,48504467,1046,"*",7.94,4.66,8.86,-4.2,5.41e-63,1.5e-59,"chr17_48503422_48504467"
"chr12",6839772,6840702,931,"*",8.24,5.93,9.09,-3.16,1.36e-62,3.72e-59,"chr12_6839772_6840702"
"chr7",130489186,130489669,484,"*",7.69,3.35,8.66,-5.31,1.53e-62,4.16e-59,"chr7_130489186_130489669"
"chr7",30472755,30473333,579,"*",7.56,3.63,8.52,-4.89,2.42e-62,6.48e-59,"chr7_30472755_30473333"
"chr2",30412506,30413187,682,"*",7.78,2.34,8.76,-6.42,5.13e-62,1.36e-58,"chr2_30412506_30413187"
"chr17",50884254,50884796,543,"*",7.54,3.66,8.49,-4.83,5.52e-62,1.45e-58,"chr17_50884254_50884796"
