"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr16",57509609,57510727,1119,"*",8.22,4.38,9.17,-4.79,7.86e-78,1.32e-72,"chr16_57509609_57510727"
"chr17",44599192,44600304,1113,"*",8.67,6.48,9.5,-3.02,4.91e-75,4.14e-70,"chr17_44599192_44600304"
"chr15",67843245,67844422,1178,"*",8.34,5.85,9.21,-3.36,2.37e-72,1.33e-67,"chr15_67843245_67844422"
"chr15",70154024,70155331,1308,"*",8.62,6.03,9.49,-3.46,1.04e-71,4.39e-67,"chr15_70154024_70155331"
"chr2",96890409,96892041,1633,"*",8.04,4.85,8.96,-4.11,9.27e-69,3.12e-64,"chr2_96890409_96892041"
"chr8",117171097,117172696,1600,"*",8.23,5.66,9.1,-3.44,1.42e-68,4e-64,"chr8_117171097_117172696"
"chr18",59454842,59455644,803,"*",7.98,4.09,8.93,-4.83,5.42e-68,1.3e-63,"chr18_59454842_59455644"
"chr2",28543485,28545330,1846,"*",8.09,5.33,8.98,-3.65,9.59e-67,2.02e-62,"chr2_28543485_28545330"
"chr3",31288036,31290009,1974,"*",8.18,5.72,9.04,-3.31,8e-65,1.5e-60,"chr3_31288036_31290009"
"chr19",8028657,8029669,1013,"*",8.79,7.04,9.55,-2.52,3.58e-63,6.03e-59,"chr19_8028657_8029669"
"chr18",22193466,22194647,1182,"*",8.06,5.5,8.93,-3.43,7.49e-63,1.15e-58,"chr18_22193466_22194647"
"chr11",15884291,15885288,998,"*",7.87,4.19,8.81,-4.62,2.11e-62,2.96e-58,"chr11_15884291_15885288"
"chr10",78359212,78360324,1113,"*",8.02,5.21,8.91,-3.71,3.94e-62,5.11e-58,"chr10_78359212_78360324"
"chr2",120935352,120936441,1090,"*",7.73,3.89,8.68,-4.79,1.22e-61,1.47e-57,"chr2_120935352_120936441"
